ICAO,PHASE,YEAR,N_TOTAL,N_VALID_ASMA,N_MISSING_RANGE,N_MISSING_CLASS,N_MISSING_RWY,N_MISSING_SECTOR,PCT_VALID_ASMA
SBBR,ARR,2023,124037,124017,0,2,18,0,0.9998387577900143
SBBR,ARR,2024,150556,120368,0,100,1998,30105,0.7994898908047504
SBBR,ARR,2025,157842,121992,0,78,2212,35748,0.7728741399627476
SBCF,ARR,2023,89647,89511,0,4,132,0,0.9984829386370988
SBCF,ARR,2024,116158,96184,0,62,1558,19854,0.8280445599958677
SBCF,ARR,2025,120730,98088,0,58,2382,22398,0.8124575499047462
SBCT,ARR,2023,56576,56461,0,4,111,0,0.9979673359728507
SBCT,ARR,2024,61534,52608,0,40,502,8820,0.8549419832937888
SBCT,ARR,2025,63008,50932,0,14,488,12002,0.8083417978669375
SBEG,ARR,2023,33040,33000,0,2,38,0,0.9987893462469734
SBEG,ARR,2024,46864,34290,0,116,244,12505,0.731691703653124
SBEG,ARR,2025,47346,32440,0,128,250,14818,0.6851687576564018
SBGL,ARR,2023,55980,55918,0,20,42,0,0.9988924615934263
SBGL,ARR,2024,112080,93549,0,396,574,18451,0.8346627408993575
SBGL,ARR,2025,131582,104379,0,304,878,27139,0.7932619963216854
SBGR,ARR,2023,234975,234859,0,2,114,0,0.9995063304606873
SBGR,ARR,2024,291632,243572,0,82,944,47882,0.8352032698743622
SBGR,ARR,2025,305620,254468,0,56,1130,50878,0.832628754662653
SBKP,ARR,2023,108410,108292,0,0,118,0,0.998911539525874
SBKP,ARR,2024,123532,102607,0,36,682,20807,0.830610691966454
SBKP,ARR,2025,125552,101364,0,46,2232,24011,0.8073467567223143
SBPA,ARR,2023,65600,65542,0,0,58,0,0.9991158536585366
SBPA,ARR,2024,33300,27770,0,122,348,5503,0.8339339339339339
SBPA,ARR,2025,68206,53703,0,76,612,14413,0.7873647479693868
SBRF,ARR,2023,74678,74651,0,0,27,0,0.9996384477356116
SBRF,ARR,2024,93984,74583,0,56,662,19323,0.7935712461695608
SBRF,ARR,2025,84612,66534,0,18,400,18039,0.7863423627854205
SBRJ,ARR,2023,111085,110742,0,0,343,0,0.9969122743844804
SBRJ,ARR,2024,76022,60531,0,152,1076,15296,0.7962300386730157
SBRJ,ARR,2025,75756,58335,0,92,1354,17217,0.7700380167907492
SBSP,ARR,2023,193271,192931,0,0,340,0,0.9982408121239089
SBSP,ARR,2024,237688,189860,0,972,1814,47447,0.7987782302850795
SBSP,ARR,2025,214760,180052,0,190,1452,34464,0.8383870366921214
SBSV,ARR,2023,54278,54270,0,0,8,0,0.9998526106341428
SBSV,ARR,2024,80298,57070,0,86,348,23214,0.710727539913821
SBSV,ARR,2025,82078,55909,0,40,344,26154,0.6811691318014571
