DATE,REG,FLTS,YEAR,ROLL_MED_7
2019-01-01,BRA,3281,2019,NA
2019-01-02,BRA,4786,2019,NA
2019-01-03,BRA,4781,2019,NA
2019-01-04,BRA,4579,2019,4494
2019-01-05,BRA,3964,2019,4579
2019-01-06,BRA,4058,2019,4579
2019-01-07,BRA,4494,2019,4579
2019-01-08,BRA,4581,2019,4581
2019-01-09,BRA,4693,2019,4581
2019-01-10,BRA,4875,2019,4581
2019-01-11,BRA,4950,2019,4581
2019-01-12,BRA,4196,2019,4693
2019-01-13,BRA,4027,2019,4791
2019-01-14,BRA,4513,2019,4791
2019-01-15,BRA,4821,2019,4791
2019-01-16,BRA,4791,2019,4791
2019-01-17,BRA,4916,2019,4791
2019-01-18,BRA,4858,2019,4791
2019-01-19,BRA,4059,2019,4791
2019-01-20,BRA,4019,2019,4858
2019-01-21,BRA,4733,2019,4858
2019-01-22,BRA,4875,2019,4875
2019-01-23,BRA,4992,2019,4875
2019-01-24,BRA,5174,2019,4875
2019-01-25,BRA,5058,2019,4875
2019-01-26,BRA,4236,2019,4945
2019-01-27,BRA,4188,2019,4945
2019-01-28,BRA,4859,2019,4945
2019-01-29,BRA,4945,2019,4945
2019-01-30,BRA,5044,2019,4945
2019-01-31,BRA,5137,2019,4945
2019-02-01,BRA,5134,2019,4945
2019-02-02,BRA,4009,2019,4562
2019-02-03,BRA,3925,2019,4541
2019-02-04,BRA,4541,2019,4541
2019-02-05,BRA,4562,2019,4541
2019-02-06,BRA,4500,2019,4541
2019-02-07,BRA,4869,2019,4541
2019-02-08,BRA,4918,2019,4562
2019-02-09,BRA,3964,2019,4500
2019-02-10,BRA,3670,2019,4544
2019-02-11,BRA,4706,2019,4544
2019-02-12,BRA,4490,2019,4544
2019-02-13,BRA,4544,2019,4544
2019-02-14,BRA,5047,2019,4544
2019-02-15,BRA,4612,2019,4544
2019-02-16,BRA,3568,2019,4560
2019-02-17,BRA,3324,2019,4612
2019-02-18,BRA,4560,2019,4612
2019-02-19,BRA,4702,2019,4702
2019-02-20,BRA,4784,2019,4702
2019-02-21,BRA,4990,2019,4702
2019-02-22,BRA,4988,2019,4702
2019-02-23,BRA,3922,2019,4492
2019-02-24,BRA,3731,2019,4492
2019-02-25,BRA,4426,2019,4492
2019-02-26,BRA,4492,2019,4492
2019-02-27,BRA,4835,2019,4492
2019-02-28,BRA,4765,2019,4492
2019-03-01,BRA,5211,2019,4492
2019-03-02,BRA,4360,2019,4360
2019-03-03,BRA,2781,2019,4360
2019-03-04,BRA,2874,2019,4360
2019-03-05,BRA,3421,2019,4360
2019-03-06,BRA,4778,2019,3906
2019-03-07,BRA,4592,2019,3906
2019-03-08,BRA,4625,2019,4572
2019-03-09,BRA,3906,2019,4592
2019-03-10,BRA,3817,2019,4592
2019-03-11,BRA,4572,2019,4618
2019-03-12,BRA,4618,2019,4618
2019-03-13,BRA,4685,2019,4618
2019-03-14,BRA,4896,2019,4618
2019-03-15,BRA,4809,2019,4618
2019-03-16,BRA,3871,2019,4648
2019-03-17,BRA,3465,2019,4648
2019-03-18,BRA,4494,2019,4648
2019-03-19,BRA,4648,2019,4648
2019-03-20,BRA,4673,2019,4648
2019-03-21,BRA,4763,2019,4648
2019-03-22,BRA,4830,2019,4673
2019-03-23,BRA,4022,2019,4698
2019-03-24,BRA,3732,2019,4763
2019-03-25,BRA,4698,2019,4797
2019-03-26,BRA,4918,2019,4797
2019-03-27,BRA,4797,2019,4797
2019-03-28,BRA,4963,2019,4797
2019-03-29,BRA,4935,2019,4797
2019-03-30,BRA,4059,2019,4797
2019-03-31,BRA,3667,2019,4837
2019-04-01,BRA,4462,2019,4837
2019-04-02,BRA,4868,2019,4837
2019-04-03,BRA,4837,2019,4837
2019-04-04,BRA,5107,2019,4837
2019-04-05,BRA,4885,2019,4837
2019-04-06,BRA,3554,2019,4637
2019-04-07,BRA,3308,2019,4637
2019-04-08,BRA,4371,2019,4637
2019-04-09,BRA,4637,2019,4637
2019-04-10,BRA,4999,2019,4637
2019-04-11,BRA,4907,2019,4637
2019-04-12,BRA,5120,2019,4637
2019-04-13,BRA,3963,2019,4635
2019-04-14,BRA,3482,2019,4635
2019-04-15,BRA,4617,2019,4635
2019-04-16,BRA,4635,2019,4617
2019-04-17,BRA,5084,2019,4617
2019-04-18,BRA,4968,2019,4617
2019-04-19,BRA,3659,2019,4635
2019-04-20,BRA,2806,2019,4740
2019-04-21,BRA,4035,2019,4735
2019-04-22,BRA,4934,2019,4669
2019-04-23,BRA,4740,2019,4735
2019-04-24,BRA,4735,2019,4735
2019-04-25,BRA,4669,2019,4735
2019-04-26,BRA,5081,2019,4708
2019-04-27,BRA,3736,2019,4669
2019-04-28,BRA,3332,2019,4669
2019-04-29,BRA,4708,2019,4572
