APT,DATE,PHASE,N_VALID,N_VALID_MONTH,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-16]","(-16,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBBR,2019-01-01,ARR,59999,5477,0,0,0,0,1,1,3,5,9,29,24,17,20,10,6,1,4,2,3,0,1,0,1,0,0,1
SBBR,2019-01-01,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,11,45,26,33,18,6,4,3,2,2,1,1,2,0,0,1
SBBR,2019-01-02,ARR,59999,5477,0,0,0,0,0,0,5,6,24,23,43,34,18,5,4,7,5,5,2,1,2,0,1,1,0,1
SBBR,2019-01-02,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,9,40,63,33,16,6,6,3,5,1,0,3,1,0,0,3
SBBR,2019-01-03,ARR,59999,5477,0,0,0,0,0,0,3,7,23,24,47,24,14,11,8,9,4,3,2,2,1,0,1,2,0,3
SBBR,2019-01-03,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,7,32,60,17,20,11,15,7,5,2,4,0,0,0,2,5
SBBR,2019-01-04,ARR,59999,5477,0,0,0,0,0,0,0,4,13,23,34,35,17,16,9,8,7,5,3,1,5,2,1,0,1,5
SBBR,2019-01-04,DEP,60102,5513,0,0,0,0,0,0,1,0,0,0,5,30,48,30,20,12,10,5,9,4,3,2,3,0,1,1
SBBR,2019-01-05,ARR,59999,5477,0,0,0,0,0,0,3,7,13,8,26,17,13,18,9,4,5,3,5,4,0,3,3,0,2,6
SBBR,2019-01-05,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,5,21,33,28,11,12,10,9,3,2,1,3,1,0,1,8
SBBR,2019-01-06,ARR,59999,5477,0,0,0,0,0,0,0,10,12,15,21,20,13,11,10,8,1,4,3,1,3,3,0,0,2,3
SBBR,2019-01-06,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,8,26,27,25,15,10,9,7,2,5,4,2,1,0,0,3
SBBR,2019-01-07,ARR,59999,5477,0,0,0,0,0,0,0,2,14,24,24,26,24,12,14,12,9,7,4,2,4,2,2,1,1,6
SBBR,2019-01-07,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,2,29,49,30,20,13,17,10,4,3,3,4,1,1,0,5
SBBR,2019-01-08,ARR,59999,5477,0,0,0,0,0,0,1,4,18,18,41,21,28,16,10,7,7,6,3,3,0,3,0,1,1,6
SBBR,2019-01-08,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,3,33,50,27,21,11,10,10,8,4,2,0,2,2,3,4
SBBR,2019-01-09,ARR,59999,5477,0,0,0,0,0,2,4,7,15,16,26,33,31,15,13,11,3,1,3,3,0,1,1,1,1,2
SBBR,2019-01-09,DEP,60102,5513,0,0,0,0,0,0,0,0,0,1,7,35,52,29,28,16,12,4,3,3,0,1,0,0,0,6
SBBR,2019-01-10,ARR,59999,5477,0,0,0,0,0,0,1,8,12,13,31,31,24,21,12,13,7,8,4,1,4,2,2,0,0,1
SBBR,2019-01-10,DEP,60102,5513,0,0,0,0,0,0,0,0,0,1,6,38,47,34,28,10,8,7,6,2,2,2,1,0,0,2
SBBR,2019-01-11,ARR,59999,5477,0,0,0,0,0,0,1,5,14,15,31,29,24,23,16,6,9,2,2,3,3,0,1,0,2,3
SBBR,2019-01-11,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,5,32,47,34,23,10,8,8,5,5,5,3,2,1,0,3
SBBR,2019-01-12,ARR,59999,5477,0,0,0,1,1,2,4,9,25,16,21,23,11,9,5,5,6,1,2,1,2,1,1,0,0,4
SBBR,2019-01-12,DEP,60102,5513,0,0,0,0,0,1,0,0,0,1,11,33,40,15,15,4,6,7,1,3,3,0,1,0,1,2
SBBR,2019-01-13,ARR,59999,5477,0,0,0,1,0,1,1,11,14,24,24,25,17,5,6,4,2,0,1,3,0,0,0,0,0,2
SBBR,2019-01-13,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,7,40,40,24,11,7,5,3,2,0,2,1,0,0,0,1
SBBR,2019-01-14,ARR,59999,5477,0,0,0,0,1,0,1,10,20,25,37,26,22,14,11,1,6,6,2,1,0,0,2,0,0,2
SBBR,2019-01-14,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,10,52,53,28,26,7,5,6,4,0,0,2,1,0,0,0
SBBR,2019-01-15,ARR,59999,5477,0,0,0,0,1,0,2,6,23,19,40,27,25,18,10,8,3,4,2,1,0,2,2,3,0,1
SBBR,2019-01-15,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,7,44,65,30,17,11,6,3,3,1,0,2,1,0,0,0
SBBR,2019-01-16,ARR,59999,5477,0,0,0,0,1,2,0,6,16,19,32,37,25,12,14,11,5,3,1,1,1,1,1,1,1,1
SBBR,2019-01-16,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,10,38,54,30,20,18,7,5,1,2,4,0,2,0,0,5
SBBR,2019-01-17,ARR,59999,5477,1,0,0,0,0,3,2,13,29,19,40,30,23,12,6,6,1,1,2,1,0,0,0,0,2,3
SBBR,2019-01-17,DEP,60102,5513,1,0,0,0,0,0,0,0,0,0,17,50,61,23,18,8,3,4,0,0,0,1,2,0,0,2
SBBR,2019-01-18,ARR,59999,5477,0,0,0,0,0,3,1,4,15,20,40,30,26,14,7,11,5,4,1,2,1,2,1,0,2,6
SBBR,2019-01-18,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,10,35,66,33,12,14,8,4,4,4,2,1,0,0,0,3
SBBR,2019-01-19,ARR,59999,5477,0,0,1,0,0,3,6,12,21,24,31,20,9,4,2,5,1,2,1,1,1,0,0,1,0,5
SBBR,2019-01-19,DEP,60102,5513,0,0,0,0,0,1,0,0,0,1,13,43,44,14,12,6,4,2,0,0,1,0,0,1,0,4
SBBR,2019-01-20,ARR,59999,5477,0,0,0,0,0,1,2,12,13,22,36,22,10,5,3,4,1,1,2,1,1,2,1,0,0,3
SBBR,2019-01-20,DEP,60102,5513,0,0,0,0,0,0,0,0,0,1,6,34,33,28,12,10,4,4,1,5,4,1,0,0,0,4
SBBR,2019-01-21,ARR,59999,5477,0,0,0,0,0,4,0,9,11,23,33,32,24,15,16,4,8,4,2,0,0,1,2,0,1,4
SBBR,2019-01-21,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,7,41,49,38,21,15,9,5,3,1,0,0,0,1,2,2
SBBR,2019-01-22,ARR,59999,5477,0,0,0,0,0,1,2,12,12,30,42,36,23,14,6,2,4,2,1,3,0,0,1,0,0,1
SBBR,2019-01-22,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,12,64,64,23,12,4,3,5,2,1,2,0,0,0,0,2
SBBR,2019-01-23,ARR,59999,5477,0,0,0,0,0,1,4,9,20,23,34,30,23,15,7,7,4,3,3,2,1,0,0,1,0,4
