YEAR,MONTH_NUM,MONTH_MON,ENTRY_DATE,ENTITY_NAME,ENTITY_TYPE,TYPE_MODEL,DIST_FLOWN_KM,DIST_DIRECT_KM,DIST_ACHIEVED_KM
2025,1,JAN,2025-01-01,EUROCONTROL Area (PRR),Area (FIR),CPF,24192540,23682363.85,23552754.89
2025,1,JAN,2025-01-01,EUROCONTROL Area (PRR),Area (FIR),FTFM,24223270,23424971.12,23247704.21
2025,1,JAN,2025-01-01,EUROCONTROL Area (PRR),Area (FIR),SFR,23495578,22755835.42,22583009.14
2025,1,JAN,2025-01-02,EUROCONTROL Area (PRR),Area (FIR),CPF,28210882,27595737.27,27429306.77
2025,1,JAN,2025-01-02,EUROCONTROL Area (PRR),Area (FIR),FTFM,28360159,27403859.26,27174132.5
2025,1,JAN,2025-01-02,EUROCONTROL Area (PRR),Area (FIR),SFR,27557497,26673895.93,26450855.53
2025,1,JAN,2025-01-03,EUROCONTROL Area (PRR),Area (FIR),CPF,28707408,28097206.75,27923166.72
2025,1,JAN,2025-01-03,EUROCONTROL Area (PRR),Area (FIR),FTFM,28785352,27844284,27614117.17
2025,1,JAN,2025-01-03,EUROCONTROL Area (PRR),Area (FIR),SFR,28059454,27182637.02,26958577.76
2025,1,JAN,2025-01-04,EUROCONTROL Area (PRR),Area (FIR),CPF,29484396,28862201.82,28704598.97
2025,1,JAN,2025-01-04,EUROCONTROL Area (PRR),Area (FIR),FTFM,29645656,28682256.01,28462775.2
2025,1,JAN,2025-01-04,EUROCONTROL Area (PRR),Area (FIR),SFR,28842140,27945281.2,27731008.34
2025,1,JAN,2025-01-05,EUROCONTROL Area (PRR),Area (FIR),CPF,28930257,28291119.39,28129021.02
2025,1,JAN,2025-01-05,EUROCONTROL Area (PRR),Area (FIR),FTFM,29032177,28077885.1,27861053.77
2025,1,JAN,2025-01-05,EUROCONTROL Area (PRR),Area (FIR),SFR,28244011,27354989.72,27144043.87
2025,1,JAN,2025-01-06,EUROCONTROL Area (PRR),Area (FIR),CPF,27595375,26985862.16,26818892.7
2025,1,JAN,2025-01-06,EUROCONTROL Area (PRR),Area (FIR),FTFM,27640581,26716903.16,26493909.56
2025,1,JAN,2025-01-06,EUROCONTROL Area (PRR),Area (FIR),SFR,26829187,25971631.47,25755074.96
2025,1,JAN,2025-01-07,EUROCONTROL Area (PRR),Area (FIR),CPF,25009339,24422479.32,24273803.3
2025,1,JAN,2025-01-07,EUROCONTROL Area (PRR),Area (FIR),FTFM,25095135,24214531.95,24013780.36
2025,1,JAN,2025-01-07,EUROCONTROL Area (PRR),Area (FIR),SFR,24228116,23415052.72,23219707.33
2025,1,JAN,2025-01-08,EUROCONTROL Area (PRR),Area (FIR),CPF,23216160,22674996.68,22543980.58
2025,1,JAN,2025-01-08,EUROCONTROL Area (PRR),Area (FIR),FTFM,23283939,22456032.13,22275117.17
2025,1,JAN,2025-01-08,EUROCONTROL Area (PRR),Area (FIR),SFR,22426786,21663371.04,21487513.95
2025,1,JAN,2025-01-09,EUROCONTROL Area (PRR),Area (FIR),CPF,23874658,23309937.96,23168443.19
2025,1,JAN,2025-01-09,EUROCONTROL Area (PRR),Area (FIR),FTFM,24019223,23173536.23,22979244.22
2025,1,JAN,2025-01-09,EUROCONTROL Area (PRR),Area (FIR),SFR,23231868,22451980.01,22263244.48
2025,1,JAN,2025-01-10,EUROCONTROL Area (PRR),Area (FIR),CPF,26306515,25713932.68,25552384.79
