ICAO,DATE,ARRS,DEPS,SRC_NA,ARRS_REG,DEPS_REG,HEL,H,M,L,NA
EDDF,2025-01-01,378,434,0,243,293,0,238,565,9,0
EDDF,2025-01-02,488,495,0,356,354,0,255,727,1,0
EDDF,2025-01-03,523,525,0,377,369,0,268,775,5,0
EDDF,2025-01-04,506,504,0,351,342,0,284,722,4,0
EDDF,2025-01-05,470,466,0,309,307,0,276,652,8,0
EDDF,2025-01-06,516,515,0,370,368,0,278,747,6,0
EDDF,2025-01-07,495,493,0,357,352,0,254,725,9,0
EDDF,2025-01-08,496,512,0,351,363,0,264,741,3,0
EDDF,2025-01-09,515,511,0,378,370,0,266,745,15,0
EDDF,2025-01-10,531,534,0,383,380,0,279,785,1,0
EDDF,2025-01-11,499,498,0,352,343,0,273,722,2,0
EDDF,2025-01-12,534,534,0,372,374,0,280,785,3,0
EDDF,2025-01-13,510,494,0,367,355,0,278,724,2,0
EDDF,2025-01-14,466,474,0,332,334,0,249,687,4,0
EDDF,2025-01-15,517,513,0,364,364,0,274,751,5,0
EDDF,2025-01-16,488,502,0,360,362,0,257,725,8,0
EDDF,2025-01-17,534,526,0,388,375,0,281,774,5,0
EDDF,2025-01-18,477,478,0,332,323,0,269,681,5,0
EDDF,2025-01-19,522,513,0,361,354,0,284,743,8,0
EDDF,2025-01-20,498,499,0,360,360,0,270,716,11,0
EDDF,2025-01-21,458,459,0,329,329,0,237,673,7,0
EDDF,2025-01-22,499,507,0,360,366,0,256,739,11,0
EDDF,2025-01-23,505,502,0,372,358,0,258,742,7,0
EDDF,2025-01-24,516,519,0,376,372,2,270,757,6,0
EDDF,2025-01-25,474,479,0,332,327,0,276,673,4,0
EDDF,2025-01-26,533,526,0,377,369,0,279,774,6,0
EDDF,2025-01-27,502,500,0,366,364,0,257,741,4,0
EDDF,2025-01-28,475,468,0,342,339,0,234,703,6,0
EDDF,2025-01-29,493,500,0,361,366,0,240,745,8,0
EDDF,2025-01-30,483,488,0,356,349,0,251,717,3,0
EDDF,2025-01-31,531,528,0,392,383,0,270,785,4,0
EDDF,2025-02-01,486,485,0,346,330,0,270,695,6,0
EDDF,2025-02-02,529,533,0,371,380,0,268,784,10,0
EDDF,2025-02-03,513,509,0,375,371,0,262,757,3,0
EDDF,2025-02-04,482,474,0,350,346,0,235,717,4,0
EDDF,2025-02-05,505,506,0,369,365,0,245,758,8,0
EDDF,2025-02-06,505,511,0,376,373,0,252,760,4,0
EDDF,2025-02-07,539,529,0,400,385,0,255,808,5,0
EDDF,2025-02-08,481,488,0,334,331,0,270,693,6,0
EDDF,2025-02-09,554,552,0,397,391,0,273,827,6,0
EDDF,2025-02-10,527,530,0,387,391,0,263,790,4,0
EDDF,2025-02-11,521,523,0,381,383,0,254,778,12,0
EDDF,2025-02-12,555,554,0,421,416,0,246,848,15,0
EDDF,2025-02-13,516,526,0,386,386,0,252,784,6,0
EDDF,2025-02-14,575,578,0,431,422,0,272,868,13,0
EDDF,2025-02-15,523,523,0,374,361,0,281,760,5,0
EDDF,2025-02-16,566,559,0,399,398,0,286,829,10,0
EDDF,2025-02-17,556,554,0,413,413,0,265,841,4,0
EDDF,2025-02-18,536,528,0,398,389,0,247,811,6,0
EDDF,2025-02-19,553,562,0,411,411,0,257,856,2,0
EDDF,2025-02-20,545,549,0,406,406,0,271,811,12,0
EDDF,2025-02-21,575,586,0,426,425,0,277,871,13,0
EDDF,2025-02-22,543,533,0,390,373,0,287,783,6,0
EDDF,2025-02-23,571,578,0,409,412,0,291,850,8,0
EDDF,2025-02-24,568,557,0,418,416,0,276,839,10,0
EDDF,2025-02-25,528,529,0,387,383,0,254,800,3,0
EDDF,2025-02-26,582,584,0,436,434,0,267,891,8,0
EDDF,2025-02-27,559,564,0,419,412,0,275,840,8,0
EDDF,2025-02-28,590,595,0,436,433,0,290,890,5,0
EDDF,2025-03-01,555,552,0,400,386,0,299,804,4,0
EDDF,2025-03-02,578,583,0,413,423,0,284,875,2,0
EDDF,2025-03-03,589,584,0,439,435,0,288,870,15,0
EDDF,2025-03-04,563,555,0,412,407,0,271,836,11,0
EDDF,2025-03-05,581,594,0,433,439,0,275,892,8,0
EDDF,2025-03-06,579,580,0,435,426,0,281,869,9,0
EDDF,2025-03-07,601,610,0,446,449,0,284,917,10,0
EDDF,2025-03-08,560,548,0,401,380,0,300,803,5,0
EDDF,2025-03-09,575,588,0,406,420,0,295,860,8,0
EDDF,2025-03-10,51,24,0,17,10,0,49,23,3,0
EDDF,2025-03-11,571,579,0,422,412,0,287,852,11,0
EDDF,2025-03-12,599,604,0,450,450,0,277,917,9,0
EDDF,2025-03-13,574,576,0,428,423,0,286,856,8,0
EDDF,2025-03-14,608,613,0,453,449,0,288,922,11,0
EDDF,2025-03-15,565,554,0,407,390,0,294,819,6,0
EDDF,2025-03-16,600,602,0,432,430,0,300,892,10,0
EDDF,2025-03-17,590,585,0,437,438,0,285,885,5,0
EDDF,2025-03-18,566,567,0,418,412,0,263,856,14,0
EDDF,2025-03-19,602,611,0,444,454,0,284,915,14,0
EDDF,2025-03-20,586,588,0,440,437,0,272,896,6,0
EDDF,2025-03-21,606,606,0,446,442,0,291,904,17,0
EDDF,2025-03-22,563,559,0,405,391,0,303,809,10,0
EDDF,2025-03-23,586,594,0,422,428,0,289,889,2,0
EDDF,2025-03-24,586,582,0,430,432,0,290,877,1,0
EDDF,2025-03-25,581,568,0,430,412,0,277,867,5,0
EDDF,2025-03-26,587,597,0,434,439,0,280,894,10,0
EDDF,2025-03-27,595,588,0,444,433,0,288,889,6,0
EDDF,2025-03-28,605,614,0,451,451,1,287,925,6,0
EDDF,2025-03-29,569,560,0,409,392,1,296,829,3,0
EDDF,2025-03-30,642,644,0,472,472,0,303,977,6,0
EDDF,2025-03-31,631,627,0,475,474,0,290,964,4,0
EDDF,2025-04-01,627,627,0,473,469,0,273,970,11,0
EDDF,2025-04-02,650,653,0,492,487,0,293,1002,8,0
EDDF,2025-04-03,642,647,0,492,489,0,276,1004,9,0
EDDF,2025-04-04,663,664,0,498,491,0,298,1021,8,0
EDDF,2025-04-05,648,647,0,481,468,0,305,987,3,0
EDDF,2025-04-06,663,664,0,485,485,0,310,1012,5,0
EDDF,2025-04-07,656,654,0,493,497,0,303,1001,6,0
EDDF,2025-04-08,632,632,0,478,476,0,276,981,7,0
EDDF,2025-04-09,643,648,0,484,483,0,287,997,7,0
EDDF,2025-04-10,655,651,0,499,494,2,284,1017,3,0
EDDF,2025-04-11,676,681,0,512,508,0,300,1052,5,0
EDDF,2025-04-12,655,654,0,488,477,0,304,1003,2,0
EDDF,2025-04-13,664,657,0,494,488,0,299,1021,1,0
EDDF,2025-04-14,647,651,0,487,497,0,299,994,5,0
EDDF,2025-04-15,629,633,0,477,476,0,271,989,2,0
EDDF,2025-04-16,661,662,0,499,496,0,299,1022,2,0
EDDF,2025-04-17,647,650,0,498,491,0,283,1012,2,0
EDDF,2025-04-18,661,658,0,493,483,0,303,1011,5,0
EDDF,2025-04-19,643,640,0,477,464,0,302,980,1,0
EDDF,2025-04-20,649,643,0,473,472,0,301,989,2,0
EDDF,2025-04-21,629,628,0,469,473,0,291,962,4,0
EDDF,2025-04-22,627,635,0,475,476,0,272,988,2,0
EDDF,2025-04-23,664,666,0,505,500,0,295,1023,12,0
EDDF,2025-04-24,647,645,0,491,486,0,289,996,7,0
EDDF,2025-04-25,684,684,0,515,511,0,300,1056,12,0
EDDF,2025-04-26,654,655,0,490,480,0,301,1005,3,0
EDDF,2025-04-27,691,685,0,510,509,0,314,1056,6,0
EDDF,2025-04-28,659,651,0,496,495,2,296,1008,4,0
EDDF,2025-04-29,636,639,0,485,483,0,263,1007,5,0
EDDF,2025-04-30,683,679,0,523,513,0,294,1063,5,0
EDDF,2025-05-01,647,646,0,496,491,0,279,1012,2,0
EDDF,2025-05-02,690,688,0,530,516,0,298,1073,7,0
EDDF,2025-05-03,653,650,0,492,475,0,312,988,3,0
EDDF,2025-05-04,703,697,0,528,525,0,312,1078,10,0
EDDF,2025-05-05,671,674,0,508,517,0,306,1033,6,0
EDDF,2025-05-06,644,650,0,498,496,0,276,1004,14,0
EDDF,2025-05-07,688,687,0,528,522,0,298,1070,7,0
EDDF,2025-05-08,697,704,0,537,537,0,310,1080,11,0
EDDF,2025-05-09,695,698,0,537,526,0,302,1087,4,0
EDDF,2025-05-10,674,674,0,511,499,0,311,1033,4,0
EDDF,2025-05-11,703,700,0,528,524,0,318,1078,7,0
EDDF,2025-05-12,685,680,0,517,519,0,314,1043,8,0
EDDF,2025-05-13,661,657,0,513,501,0,274,1040,4,0
EDDF,2025-05-14,679,691,0,517,520,0,300,1064,6,0
EDDF,2025-05-15,685,683,0,526,519,0,305,1060,3,0
EDDF,2025-05-16,707,711,0,547,539,0,313,1099,6,0
EDDF,2025-05-17,688,684,0,521,508,0,321,1045,6,0
EDDF,2025-05-18,703,698,0,527,520,0,322,1075,4,0
EDDF,2025-05-19,680,678,0,513,518,0,314,1031,13,0
EDDF,2025-05-20,654,656,0,507,501,0,266,1038,6,0
EDDF,2025-05-21,688,683,0,525,514,0,299,1061,11,0
EDDF,2025-05-22,694,700,0,539,537,0,297,1085,12,0
EDDF,2025-05-23,718,721,0,553,550,0,312,1115,12,0
EDDF,2025-05-24,678,679,0,517,511,0,309,1043,5,0
EDDF,2025-05-25,709,707,0,540,532,0,318,1091,7,0
EDDF,2025-05-26,686,679,0,516,515,0,307,1050,8,0
EDDF,2025-05-27,654,657,0,509,507,0,269,1031,11,0
EDDF,2025-05-28,677,680,0,511,509,0,304,1049,4,0
EDDF,2025-05-29,672,675,0,514,513,0,292,1049,6,0
EDDF,2025-05-30,691,685,0,528,518,0,302,1069,5,0
EDDF,2025-05-31,651,658,0,490,481,0,320,983,6,0
EDDF,2025-06-01,675,659,0,500,482,0,316,1011,7,0
EDDF,2025-06-02,682,691,0,511,530,0,306,1053,14,0
EDDF,2025-06-03,666,662,0,515,505,0,269,1053,6,0
EDDF,2025-06-04,682,678,0,522,511,0,293,1060,7,0
EDDF,2025-06-05,689,698,0,533,533,0,298,1079,10,0
EDDF,2025-06-06,717,727,0,550,553,0,312,1125,7,0
EDDF,2025-06-07,691,686,0,528,515,0,313,1058,6,0
EDDF,2025-06-08,691,685,0,518,510,0,318,1055,3,0
EDDF,2025-06-09,671,669,0,505,512,0,290,1047,3,0
EDDF,2025-06-10,671,669,0,523,513,0,274,1059,7,0
EDDF,2025-06-11,706,714,0,540,541,0,300,1112,8,0
EDDF,2025-06-12,700,701,0,541,533,0,303,1088,10,0
EDDF,2025-06-13,717,711,0,551,544,0,315,1112,1,0
EDDF,2025-06-14,686,690,0,525,512,0,319,1055,2,0
EDDF,2025-06-15,682,671,0,512,499,0,320,1027,6,0
EDDF,2025-06-16,693,696,0,524,535,0,306,1078,5,0
EDDF,2025-06-17,664,659,0,514,503,0,280,1038,5,0
EDDF,2025-06-18,711,715,0,546,541,0,299,1114,13,0
EDDF,2025-06-19,676,681,0,518,516,0,295,1056,6,0
EDDF,2025-06-20,703,700,0,536,531,0,313,1084,6,0
EDDF,2025-06-21,694,696,0,527,516,0,322,1067,1,0
EDDF,2025-06-22,721,710,0,551,537,0,320,1106,5,0
EDDF,2025-06-23,690,692,0,524,537,0,309,1069,4,0
EDDF,2025-06-24,663,665,0,511,505,0,293,1026,9,0
EDDF,2025-06-25,695,697,0,529,523,0,306,1080,6,0
EDDF,2025-06-26,687,683,0,529,517,0,303,1055,12,0
EDDF,2025-06-27,704,714,0,546,546,0,312,1100,6,0
EDDF,2025-06-28,688,689,0,523,513,0,317,1053,7,0
EDDF,2025-06-29,707,706,0,534,530,0,323,1088,2,0
EDDF,2025-06-30,695,692,0,527,532,0,310,1075,2,0
EDDF,2025-07-01,654,652,0,499,491,0,292,1014,0,0
EDDF,2025-07-02,682,684,0,516,510,0,307,1056,3,0
EDDF,2025-07-03,684,689,0,519,516,0,306,1058,9,0
EDDF,2025-07-04,694,695,0,534,529,0,308,1074,7,0
EDDF,2025-07-05,696,693,0,529,511,0,311,1074,4,0
EDDF,2025-07-06,709,715,0,533,533,0,330,1093,1,0
EDDF,2025-07-07,693,684,0,520,522,0,319,1058,0,0
EDDF,2025-07-08,676,676,0,518,512,0,288,1060,4,0
EDDF,2025-07-09,696,700,0,528,523,0,314,1080,2,0
EDDF,2025-07-10,701,706,0,537,536,0,312,1087,8,0
EDDF,2025-07-11,720,716,0,553,544,0,314,1115,7,0
EDDF,2025-07-12,702,701,0,531,518,0,324,1075,4,0
EDDF,2025-07-13,713,716,0,538,534,0,325,1097,7,0
EDDF,2025-07-14,685,680,0,514,514,0,313,1043,9,0
EDDF,2025-07-15,669,676,0,513,511,0,286,1054,5,0
EDDF,2025-07-16,698,688,0,527,513,0,314,1072,0,0
EDDF,2025-07-17,687,695,0,524,521,0,306,1073,3,0
EDDF,2025-07-18,724,719,0,553,545,0,320,1114,9,0
EDDF,2025-07-19,691,687,0,521,506,0,313,1062,3,0
EDDF,2025-07-20,690,694,0,513,510,0,329,1048,7,0
EDDF,2025-07-21,660,667,0,495,501,0,310,1006,11,0
EDDF,2025-07-22,673,673,0,512,501,0,302,1040,4,0
EDDF,2025-07-23,696,699,0,523,522,0,312,1078,5,0
