DATE,REG,FLTS,YEAR,ROLL_MED_7
2019-01-01,EUR,20268,2019,NA
2019-01-02,EUR,26259,2019,NA
2019-01-03,EUR,26649,2019,NA
2019-01-04,EUR,27162,2019,26259
2019-01-05,EUR,23270,2019,26259
2019-01-06,EUR,25876,2019,25876
2019-01-07,EUR,26771,2019,25876
2019-01-08,EUR,24643,2019,25876
2019-01-09,EUR,25607,2019,25876
2019-01-10,EUR,25881,2019,25607
2019-01-11,EUR,26726,2019,25607
2019-01-12,EUR,21546,2019,25607
2019-01-13,EUR,24247,2019,25540
2019-01-14,EUR,26331,2019,25540
2019-01-15,EUR,24143,2019,25540
2019-01-16,EUR,25540,2019,25540
2019-01-17,EUR,26277,2019,25540
2019-01-18,EUR,28037,2019,25540
2019-01-19,EUR,21468,2019,25540
2019-01-20,EUR,24590,2019,25195
2019-01-21,EUR,26847,2019,25195
2019-01-22,EUR,24683,2019,25195
2019-01-23,EUR,25195,2019,25195
2019-01-24,EUR,26318,2019,25195
2019-01-25,EUR,27564,2019,25195
2019-01-26,EUR,21253,2019,25195
2019-01-27,EUR,24364,2019,25307
2019-01-28,EUR,26335,2019,25307
2019-01-29,EUR,24776,2019,25307
2019-01-30,EUR,25307,2019,25307
2019-01-31,EUR,26447,2019,25307
2019-02-01,EUR,27382,2019,25307
2019-02-02,EUR,21697,2019,25307
2019-02-03,EUR,24055,2019,25995
2019-02-04,EUR,26518,2019,25995
2019-02-05,EUR,25080,2019,25995
2019-02-06,EUR,25995,2019,25995
2019-02-07,EUR,27034,2019,25995
2019-02-08,EUR,28196,2019,25995
2019-02-09,EUR,22119,2019,25995
2019-02-10,EUR,24678,2019,25682
2019-02-11,EUR,26921,2019,25682
2019-02-12,EUR,25586,2019,25682
2019-02-13,EUR,25682,2019,25682
2019-02-14,EUR,27575,2019,25742
2019-02-15,EUR,29198,2019,25742
2019-02-16,EUR,23459,2019,25886
2019-02-17,EUR,25742,2019,26312
2019-02-18,EUR,27233,2019,26312
2019-02-19,EUR,25886,2019,26312
2019-02-20,EUR,26312,2019,26312
