YEAR,ADEP,ADES,ADEP_REGION,ADES_REGION,FLTS,EUR_APT,BRA_APT,EUR_STUDY,BRA_STUDY,DIRECTION
2023,BIKF,SBGR,EUR,BRA,1,BIKF,SBGR,FALSE,TRUE,Europe to Brazil
2023,EBBR,SBGR,EUR,BRA,11,EBBR,SBGR,FALSE,TRUE,Europe to Brazil
2023,EBBR,SBRF,EUR,BRA,1,EBBR,SBRF,FALSE,TRUE,Europe to Brazil
2023,EBLG,SBGR,EUR,BRA,9,EBLG,SBGR,FALSE,TRUE,Europe to Brazil
2023,EDDB,SBBR,EUR,BRA,1,EDDB,SBBR,FALSE,TRUE,Europe to Brazil
2023,EDDB,SBCB,EUR,BRA,1,EDDB,SBCB,FALSE,FALSE,Europe to Brazil
2023,EDDB,SBCF,EUR,BRA,1,EDDB,SBCF,FALSE,TRUE,Europe to Brazil
2023,EDDB,SBFZ,EUR,BRA,1,EDDB,SBFZ,FALSE,FALSE,Europe to Brazil
2023,EDDB,SBGL,EUR,BRA,1,EDDB,SBGL,FALSE,TRUE,Europe to Brazil
2023,EDDF,SBCT,EUR,BRA,52,EDDF,SBCT,TRUE,TRUE,Europe to Brazil
2023,EDDF,SBGL,EUR,BRA,27,EDDF,SBGL,TRUE,TRUE,Europe to Brazil
2023,EDDF,SBGR,EUR,BRA,836,EDDF,SBGR,TRUE,TRUE,Europe to Brazil
2023,EDDF,SBKP,EUR,BRA,103,EDDF,SBKP,TRUE,TRUE,Europe to Brazil
2023,EDDL,SBKP,EUR,BRA,1,EDDL,SBKP,FALSE,TRUE,Europe to Brazil
2023,EDDM,SBCF,EUR,BRA,1,EDDM,SBCF,TRUE,TRUE,Europe to Brazil
2023,EDDM,SBGL,EUR,BRA,154,EDDM,SBGL,TRUE,TRUE,Europe to Brazil
2023,EDDM,SBGR,EUR,BRA,1,EDDM,SBGR,TRUE,TRUE,Europe to Brazil
2023,EDDS,SBGR,EUR,BRA,1,EDDS,SBGR,FALSE,TRUE,Europe to Brazil
2023,EDNY,SBGL,EUR,BRA,1,EDNY,SBGL,FALSE,TRUE,Europe to Brazil
2023,EFHK,SBGR,EUR,BRA,1,EFHK,SBGR,FALSE,TRUE,Europe to Brazil
2023,EGGD,SBPS,EUR,BRA,1,EGGD,SBPS,FALSE,FALSE,Europe to Brazil
2023,EGGL,SBGR,EUR,BRA,1,EGGL,SBGR,FALSE,TRUE,Europe to Brazil
2023,EGGP,SBBR,EUR,BRA,1,EGGP,SBBR,FALSE,TRUE,Europe to Brazil
2023,EGGW,SBBR,EUR,BRA,5,EGGW,SBBR,FALSE,TRUE,Europe to Brazil
2023,EGGW,SBCB,EUR,BRA,1,EGGW,SBCB,FALSE,FALSE,Europe to Brazil
2023,EGGW,SBFZ,EUR,BRA,2,EGGW,SBFZ,FALSE,FALSE,Europe to Brazil
2023,EGGW,SBGL,EUR,BRA,7,EGGW,SBGL,FALSE,TRUE,Europe to Brazil
2023,EGGW,SBGO,EUR,BRA,1,EGGW,SBGO,FALSE,FALSE,Europe to Brazil
2023,EGGW,SBGR,EUR,BRA,6,EGGW,SBGR,FALSE,TRUE,Europe to Brazil
2023,EGGW,SBJH,EUR,BRA,6,EGGW,SBJH,FALSE,FALSE,Europe to Brazil
2023,EGGW,SBPA,EUR,BRA,1,EGGW,SBPA,FALSE,TRUE,Europe to Brazil
2023,EGGW,SBSV,EUR,BRA,1,EGGW,SBSV,FALSE,TRUE,Europe to Brazil
2023,EGHH,SBJH,EUR,BRA,1,EGHH,SBJH,FALSE,FALSE,Europe to Brazil
2023,EGKB,SBGR,EUR,BRA,1,EGKB,SBGR,FALSE,TRUE,Europe to Brazil
2023,EGKB,SBJH,EUR,BRA,1,EGKB,SBJH,FALSE,FALSE,Europe to Brazil
2023,EGKB,SBPS,EUR,BRA,2,EGKB,SBPS,FALSE,FALSE,Europe to Brazil
2023,EGKK,SBGL,EUR,BRA,1,EGKK,SBGL,TRUE,TRUE,Europe to Brazil
2023,EGLF,SBBE,EUR,BRA,1,EGLF,SBBE,FALSE,FALSE,Europe to Brazil
2023,EGLF,SBCB,EUR,BRA,1,EGLF,SBCB,FALSE,FALSE,Europe to Brazil
2023,EGLF,SBGL,EUR,BRA,3,EGLF,SBGL,FALSE,TRUE,Europe to Brazil
2023,EGLF,SBJH,EUR,BRA,1,EGLF,SBJH,FALSE,FALSE,Europe to Brazil
2023,EGLL,SBGL,EUR,BRA,278,EGLL,SBGL,TRUE,TRUE,Europe to Brazil
2023,EGLL,SBGR,EUR,BRA,789,EGLL,SBGR,TRUE,TRUE,Europe to Brazil
2023,EGSS,SBCF,EUR,BRA,1,EGSS,SBCF,FALSE,TRUE,Europe to Brazil
2023,EGSS,SBCT,EUR,BRA,1,EGSS,SBCT,FALSE,TRUE,Europe to Brazil
2023,EGSS,SBGL,EUR,BRA,6,EGSS,SBGL,FALSE,TRUE,Europe to Brazil
2023,EGSS,SBGR,EUR,BRA,8,EGSS,SBGR,FALSE,TRUE,Europe to Brazil
2023,EGSS,SBJH,EUR,BRA,6,EGSS,SBJH,FALSE,FALSE,Europe to Brazil
2023,EGYP,SBGL,EUR,BRA,1,EGYP,SBGL,FALSE,TRUE,Europe to Brazil
2023,EGYP,SBKP,EUR,BRA,1,EGYP,SBKP,FALSE,TRUE,Europe to Brazil
2023,EHAM,SBFZ,EUR,BRA,1,EHAM,SBFZ,TRUE,FALSE,Europe to Brazil
2023,EHAM,SBGL,EUR,BRA,344,EHAM,SBGL,TRUE,TRUE,Europe to Brazil
2023,EHAM,SBGR,EUR,BRA,369,EHAM,SBGR,TRUE,TRUE,Europe to Brazil
2023,EHAM,SBJH,EUR,BRA,1,EHAM,SBJH,TRUE,FALSE,Europe to Brazil
2023,EHAM,SBKP,EUR,BRA,213,EHAM,SBKP,TRUE,TRUE,Europe to Brazil
2023,EHRD,SBGR,EUR,BRA,1,EHRD,SBGR,FALSE,TRUE,Europe to Brazil
2023,EHRD,SBSV,EUR,BRA,1,EHRD,SBSV,FALSE,TRUE,Europe to Brazil
2023,EIDW,SBGR,EUR,BRA,1,EIDW,SBGR,FALSE,TRUE,Europe to Brazil
2023,EIDW,SBRF,EUR,BRA,1,EIDW,SBRF,FALSE,TRUE,Europe to Brazil
2023,ELLX,SBGL,EUR,BRA,59,ELLX,SBGL,FALSE,TRUE,Europe to Brazil
2023,ELLX,SBGR,EUR,BRA,154,ELLX,SBGR,FALSE,TRUE,Europe to Brazil
2023,ELLX,SBKP,EUR,BRA,263,ELLX,SBKP,FALSE,TRUE,Europe to Brazil
2023,ENAL,SBJH,EUR,BRA,1,ENAL,SBJH,FALSE,FALSE,Europe to Brazil
2023,ENBR,SBJH,EUR,BRA,1,ENBR,SBJH,FALSE,FALSE,Europe to Brazil
2023,EPKT,SBGL,EUR,BRA,1,EPKT,SBGL,FALSE,TRUE,Europe to Brazil
2023,EPWA,SBSV,EUR,BRA,9,EPWA,SBSV,FALSE,TRUE,Europe to Brazil
2023,ESSA,SBSV,EUR,BRA,1,ESSA,SBSV,FALSE,TRUE,Europe to Brazil
2023,LDDU,SBBR,EUR,BRA,1,LDDU,SBBR,FALSE,TRUE,Europe to Brazil
2023,LDDU,SBFZ,EUR,BRA,1,LDDU,SBFZ,FALSE,FALSE,Europe to Brazil
2023,LDDU,SBGR,EUR,BRA,1,LDDU,SBGR,FALSE,TRUE,Europe to Brazil
2023,LEBL,SBFL,EUR,BRA,1,LEBL,SBFL,TRUE,FALSE,Europe to Brazil
2023,LEBL,SBGR,EUR,BRA,217,LEBL,SBGR,TRUE,TRUE,Europe to Brazil
2023,LEGE,SBBR,EUR,BRA,1,LEGE,SBBR,FALSE,TRUE,Europe to Brazil
2023,LEGE,SBJH,EUR,BRA,3,LEGE,SBJH,FALSE,FALSE,Europe to Brazil
2023,LEIB,SBCF,EUR,BRA,1,LEIB,SBCF,FALSE,TRUE,Europe to Brazil
2023,LEIB,SBEG,EUR,BRA,1,LEIB,SBEG,FALSE,TRUE,Europe to Brazil
2023,LEIB,SBFZ,EUR,BRA,2,LEIB,SBFZ,FALSE,FALSE,Europe to Brazil
2023,LEIB,SBGR,EUR,BRA,2,LEIB,SBGR,FALSE,TRUE,Europe to Brazil
2023,LEIB,SBJH,EUR,BRA,3,LEIB,SBJH,FALSE,FALSE,Europe to Brazil
2023,LEMD,SBBR,EUR,BRA,2,LEMD,SBBR,TRUE,TRUE,Europe to Brazil
2023,LEMD,SBFZ,EUR,BRA,4,LEMD,SBFZ,TRUE,FALSE,Europe to Brazil
2023,LEMD,SBGL,EUR,BRA,176,LEMD,SBGL,TRUE,TRUE,Europe to Brazil
2023,LEMD,SBGR,EUR,BRA,1189,LEMD,SBGR,TRUE,TRUE,Europe to Brazil
2023,LEMD,SBKP,EUR,BRA,2,LEMD,SBKP,TRUE,TRUE,Europe to Brazil
2023,LEMD,SBPS,EUR,BRA,1,LEMD,SBPS,TRUE,FALSE,Europe to Brazil
2023,LEMD,SBSG,EUR,BRA,1,LEMD,SBSG,TRUE,FALSE,Europe to Brazil
2023,LEMD,SBSV,EUR,BRA,109,LEMD,SBSV,TRUE,TRUE,Europe to Brazil
2023,LEMG,SBEG,EUR,BRA,1,LEMG,SBEG,FALSE,TRUE,Europe to Brazil
2023,LEMG,SBFZ,EUR,BRA,1,LEMG,SBFZ,FALSE,FALSE,Europe to Brazil
2023,LEMG,SBGL,EUR,BRA,1,LEMG,SBGL,FALSE,TRUE,Europe to Brazil
2023,LEMG,SBJH,EUR,BRA,4,LEMG,SBJH,FALSE,FALSE,Europe to Brazil
2023,LEMG,SBRF,EUR,BRA,1,LEMG,SBRF,FALSE,TRUE,Europe to Brazil
2023,LEPA,SBCB,EUR,BRA,1,LEPA,SBCB,FALSE,FALSE,Europe to Brazil
2023,LEPA,SBGL,EUR,BRA,2,LEPA,SBGL,FALSE,TRUE,Europe to Brazil
2023,LEPA,SBGR,EUR,BRA,2,LEPA,SBGR,FALSE,TRUE,Europe to Brazil
2023,LEPA,SBJH,EUR,BRA,2,LEPA,SBJH,FALSE,FALSE,Europe to Brazil
2023,LEPA,SBPS,EUR,BRA,1,LEPA,SBPS,FALSE,FALSE,Europe to Brazil
2023,LESA,SBBR,EUR,BRA,2,LESA,SBBR,FALSE,TRUE,Europe to Brazil
2023,LEST,SBGR,EUR,BRA,1,LEST,SBGR,FALSE,TRUE,Europe to Brazil
2023,LEST,SBJH,EUR,BRA,1,LEST,SBJH,FALSE,FALSE,Europe to Brazil
2023,LEST,SBSV,EUR,BRA,1,LEST,SBSV,FALSE,TRUE,Europe to Brazil
2023,LETO,SBBR,EUR,BRA,1,LETO,SBBR,FALSE,TRUE,Europe to Brazil
2023,LETO,SBRF,EUR,BRA,3,LETO,SBRF,FALSE,TRUE,Europe to Brazil
2023,LEVX,SBSV,EUR,BRA,2,LEVX,SBSV,FALSE,TRUE,Europe to Brazil
2023,LEZG,SBEG,EUR,BRA,1,LEZG,SBEG,FALSE,TRUE,Europe to Brazil
2023,LEZG,SBGR,EUR,BRA,1,LEZG,SBGR,FALSE,TRUE,Europe to Brazil
2023,LEZL,SBKP,EUR,BRA,1,LEZL,SBKP,FALSE,TRUE,Europe to Brazil
2023,LEZL,SBRF,EUR,BRA,3,LEZL,SBRF,FALSE,TRUE,Europe to Brazil
2023,LFBD,SBGL,EUR,BRA,1,LFBD,SBGL,FALSE,TRUE,Europe to Brazil
2023,LFBD,SBGR,EUR,BRA,2,LFBD,SBGR,FALSE,TRUE,Europe to Brazil
2023,LFBO,SBFZ,EUR,BRA,8,LFBO,SBFZ,FALSE,FALSE,Europe to Brazil
2023,LFBZ,SBPS,EUR,BRA,5,LFBZ,SBPS,FALSE,FALSE,Europe to Brazil
2023,LFKF,SBGR,EUR,BRA,1,LFKF,SBGR,FALSE,TRUE,Europe to Brazil
2023,LFLB,SBGL,EUR,BRA,1,LFLB,SBGL,FALSE,TRUE,Europe to Brazil
2023,LFLB,SBGR,EUR,BRA,2,LFLB,SBGR,FALSE,TRUE,Europe to Brazil
2023,LFLB,SBJH,EUR,BRA,3,LFLB,SBJH,FALSE,FALSE,Europe to Brazil
