DATE,FLTS,D,A,I,O,J,H,M,L,NN,MAINLINE,LOW_COST,REGIONAL,CHARTER,ALL_CARGO,BUSINESS_AVIATION,MILITARY,OTHER_SEGMENT,MS_NA,SCHED,CARGO,OTHER,REG
2023-01-01,2928,227,246,2287,168,0,0,0,0,2928,0,0,0,0,0,0,0,0,2928,0,0,2928,BRA
2023-01-02,4848,318,275,4085,170,0,0,0,0,4848,0,0,0,0,0,0,0,0,4848,0,0,4848,BRA
2023-01-03,4906,314,281,4136,175,0,0,0,0,4906,0,0,0,0,0,0,0,0,4906,0,0,4906,BRA
2023-01-04,4541,287,252,3844,158,0,0,0,0,4541,0,0,0,0,0,0,0,0,4541,0,0,4541,BRA
2023-01-05,4829,280,278,4083,188,0,0,0,0,4829,0,0,0,0,0,0,0,0,4829,0,0,4829,BRA
2023-01-06,4638,267,249,3952,170,0,0,0,0,4638,0,0,0,0,0,0,0,0,4638,0,0,4638,BRA
2023-01-07,3968,258,242,3285,183,0,0,0,0,3968,0,0,0,0,0,0,0,0,3968,0,0,3968,BRA
2023-01-08,4140,275,291,3399,175,0,0,0,0,4140,0,0,0,0,0,0,0,0,4140,0,0,4140,BRA
2023-01-09,4695,290,269,3954,182,0,0,0,0,4695,0,0,0,0,0,0,0,0,4695,0,0,4695,BRA
2023-01-10,4713,289,275,3965,184,0,0,0,0,4713,0,0,0,0,0,0,0,0,4713,0,0,4713,BRA
2023-01-11,4746,270,260,4050,166,0,0,0,0,4746,0,0,0,0,0,0,0,0,4746,0,0,4746,BRA
2023-01-12,5052,289,287,4294,182,0,0,0,0,5052,0,0,0,0,0,0,0,0,5052,0,0,5052,BRA
2023-01-13,5067,310,286,4286,185,0,0,0,0,5067,0,0,0,0,0,0,0,0,5067,0,0,5067,BRA
2023-01-14,4251,279,291,3516,165,0,0,0,0,4251,0,0,0,0,0,0,0,0,4251,0,0,4251,BRA
2023-01-15,4193,304,311,3390,188,0,0,0,0,4193,0,0,0,0,0,0,0,0,4193,0,0,4193,BRA
2023-01-16,4865,283,251,4150,181,0,0,0,0,4865,0,0,0,0,0,0,0,0,4865,0,0,4865,BRA
2023-01-17,4945,302,287,4178,178,0,0,0,0,4945,0,0,0,0,0,0,0,0,4945,0,0,4945,BRA
2023-01-18,4956,290,273,4238,155,0,0,0,0,4956,0,0,0,0,0,0,0,0,4956,0,0,4956,BRA
2023-01-19,5123,311,312,4335,165,0,0,0,0,5123,0,0,0,0,0,0,0,0,5123,0,0,5123,BRA
2023-01-20,5197,321,278,4430,168,0,0,0,0,5197,0,0,0,0,0,0,0,0,5197,0,0,5197,BRA
2023-01-21,4347,285,266,3617,179,0,0,0,0,4347,0,0,0,0,0,0,0,0,4347,0,0,4347,BRA
