ICAO,PHASE,DATE,MVTS_VALID,MVTS_NA,TOT_TXXT,TOT_REF,TOT_ADD_TIME
SBBR,ARR,2025-01-01,106,23,605.8333333333333,461.2433333333333,144.58999999999997
SBBR,ARR,2025-01-02,142,33,888.1333333333336,630.573333333333,257.5600000000001
SBBR,ARR,2025-01-03,148,33,966.5833333333338,785.2933333333328,181.28999999999994
SBBR,ARR,2025-01-04,139,33,902.2333333333333,712.2333333333336,189.99999999999997
SBBR,ARR,2025-01-05,145,31,978.5166666666667,683.1933333333329,295.32333333333355
SBBR,ARR,2025-01-06,149,33,1100.4333333333334,766.6299999999999,333.8033333333333
SBBR,ARR,2025-01-07,150,46,1060.816666666667,809.3666666666663,251.44999999999993
SBBR,ARR,2025-01-08,148,53,1064.4500000000005,798.9366666666668,265.5133333333332
SBBR,ARR,2025-01-09,148,27,1020.3666666666663,813.5633333333334,206.80333333333328
SBBR,ARR,2025-01-10,147,37,1019.4666666666668,772.0400000000001,247.4266666666666
SBBR,ARR,2025-01-11,140,38,927.1499999999997,747.9366666666665,179.21333333333334
SBBR,ARR,2025-01-12,139,37,967.4000000000002,703.4099999999996,263.9900000000001
SBBR,ARR,2025-01-13,143,41,949.0333333333341,736.7533333333331,212.28000000000006
SBBR,ARR,2025-01-14,150,45,976.1333333333332,794.2533333333333,181.88000000000002
SBBR,ARR,2025-01-15,153,61,1128.4999999999998,807.9699999999998,320.53000000000003
SBBR,ARR,2025-01-16,149,38,910.5500000000002,691.0699999999999,219.48000000000008
SBBR,ARR,2025-01-17,146,56,873.25,611.6800000000002,261.57
SBBR,ARR,2025-01-18,133,34,793.3833333333336,600.4633333333337,192.92000000000004
SBBR,ARR,2025-01-19,134,28,849.8000000000002,669.1733333333334,180.62666666666655
SBBR,ARR,2025-01-20,150,47,875.4833333333332,678.9599999999999,196.52333333333326
SBBR,ARR,2025-01-21,144,55,851.5999999999997,666.3666666666669,185.2333333333333
SBBR,ARR,2025-01-22,148,45,901.3000000000004,636.3366666666666,264.9633333333333
SBBR,ARR,2025-01-23,146,46,857.3166666666671,640.8900000000002,216.42666666666665
SBBR,ARR,2025-01-24,147,60,818.7166666666664,629.6533333333333,189.06333333333333
SBBR,ARR,2025-01-25,130,27,734.3333333333335,578.0766666666666,156.25666666666666
SBBR,ARR,2025-01-26,137,30,756.9333333333334,623.2000000000003,133.73333333333332
SBBR,ARR,2025-01-27,146,46,916.2499999999997,707.4533333333331,208.7966666666666
SBBR,ARR,2025-01-28,145,61,866.1666666666665,684.0933333333332,182.0733333333334
SBBR,ARR,2025-01-29,154,64,879.616666666667,665.2533333333337,214.3633333333333
SBBR,ARR,2025-01-30,154,66,1064.9499999999996,802.6199999999999,262.33000000000004
SBBR,ARR,2025-01-31,145,77,919.9499999999999,703.0133333333337,216.9366666666667
SBBR,ARR,2025-02-01,137,49,1021.4333333333338,762.563333333333,258.8700000000001
SBBR,ARR,2025-02-02,134,34,781.3833333333332,631.6999999999997,149.68333333333325
SBBR,ARR,2025-02-03,152,58,931.5666666666663,706.3566666666666,225.20999999999998
SBBR,ARR,2025-02-04,160,68,944.9499999999996,729.7299999999999,215.22000000000003
SBBR,ARR,2025-02-05,159,88,892.2000000000002,674.7199999999999,217.48000000000002
SBBR,ARR,2025-02-06,166,68,928.7833333333334,708.0266666666664,220.75666666666666
SBBR,ARR,2025-02-07,160,68,896.3500000000001,689.0100000000001,207.34000000000017
SBBR,ARR,2025-02-08,139,32,831.7,605.81,225.8899999999999
SBBR,ARR,2025-02-09,138,39,762.0833333333335,583.1633333333333,178.92000000000002
SBBR,ARR,2025-02-10,157,79,877.4000000000004,683.2599999999999,194.13999999999993
SBBR,ARR,2025-02-11,166,92,966.1500000000004,700.9066666666668,265.2433333333333
SBBR,ARR,2025-02-12,162,80,947.3666666666666,750.1633333333333,197.20333333333326
SBBR,ARR,2025-02-13,158,73,945.3166666666667,679.393333333333,265.9233333333333
SBBR,ARR,2025-02-14,162,59,904.1500000000003,710.1566666666665,193.99333333333328
SBBR,ARR,2025-02-15,137,39,824.0000000000005,626.6033333333334,197.39666666666665
SBBR,ARR,2025-02-16,143,40,838.9666666666664,650.8566666666666,188.10999999999996
SBBR,ARR,2025-02-17,159,62,1029.25,721.52,307.72999999999985
SBBR,ARR,2025-02-18,160,65,896.75,699.1766666666665,197.57333333333332
SBBR,ARR,2025-02-19,159,89,937.1833333333334,689.5433333333336,247.64000000000007
SBBR,ARR,2025-02-20,163,75,889.9333333333328,703.98,185.95333333333335
SBBR,ARR,2025-02-21,160,70,918.5999999999995,689.8833333333331,228.7166666666667
SBBR,ARR,2025-02-22,134,43,729.1333333333333,574.1600000000002,154.97333333333324
SBBR,ARR,2025-02-23,142,26,787.6833333333334,608.1099999999999,179.57333333333327
SBBR,ARR,2025-02-24,151,52,809.5666666666667,645.166666666667,164.39999999999998
SBBR,ARR,2025-02-25,155,64,936.5166666666668,739.8199999999997,196.6966666666667
SBBR,ARR,2025-02-26,164,76,979.1999999999996,717.2233333333335,261.97666666666663
