ICAO,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
LGAV,2024-01-01,ARR,229,0,0,0,0,0,2,2,13,22,35,41,33,26,18,10,8,3,3,3,3,1,0,1,1,2,2
LGAV,2024-01-01,DEP,229,0,0,0,0,0,0,0,0,1,1,12,33,73,48,20,19,2,3,5,2,0,4,1,2,1,2
LGAV,2024-01-02,ARR,287,0,0,0,1,0,1,3,6,20,31,44,38,41,20,12,18,17,9,3,3,7,1,3,1,2,6
LGAV,2024-01-02,DEP,291,1,0,0,0,0,0,0,0,0,0,10,29,57,62,41,35,21,8,10,3,6,1,3,2,0,2
LGAV,2024-01-03,ARR,282,0,0,0,2,0,2,6,8,19,30,44,39,41,30,14,16,11,6,4,3,0,0,0,3,1,3
LGAV,2024-01-03,DEP,279,0,1,0,0,0,0,0,0,0,2,13,26,58,59,44,30,14,7,4,7,4,2,2,2,0,4
LGAV,2024-01-04,ARR,261,1,0,0,0,0,4,7,7,15,36,46,42,28,22,8,9,10,6,5,2,3,2,2,0,1,5
LGAV,2024-01-04,DEP,270,1,0,0,0,1,0,0,0,0,2,14,33,50,65,32,23,11,9,2,3,7,7,0,1,0,9
LGAV,2024-01-05,ARR,296,1,0,0,0,0,2,4,12,18,18,44,45,38,36,26,18,9,4,3,5,0,3,2,0,2,6
LGAV,2024-01-05,DEP,301,0,0,0,0,0,0,1,0,0,3,6,29,51,75,34,30,31,12,7,4,3,2,2,0,2,9
LGAV,2024-01-06,ARR,267,0,0,0,1,0,0,4,7,8,20,29,38,42,29,25,15,16,7,6,2,3,1,6,0,1,7
LGAV,2024-01-06,DEP,259,0,0,0,1,1,0,0,0,1,2,3,28,50,56,34,32,11,14,7,7,4,1,3,0,2,2
LGAV,2024-01-07,ARR,301,0,0,0,0,0,1,1,4,4,14,25,40,39,41,24,19,14,9,9,9,10,3,6,5,2,22
LGAV,2024-01-07,DEP,302,0,0,0,0,0,0,0,1,0,2,4,16,47,61,37,37,24,21,10,4,9,6,4,3,1,15
LGAV,2024-01-08,ARR,277,0,0,1,0,0,1,2,5,14,22,30,40,34,32,20,17,13,5,5,9,5,1,2,2,5,12
LGAV,2024-01-08,DEP,282,0,0,0,0,0,0,0,0,0,3,5,23,58,60,33,24,16,17,6,11,5,4,0,3,1,13
LGAV,2024-01-09,ARR,227,0,0,0,1,0,0,1,6,13,15,38,30,33,31,17,6,6,4,2,3,3,2,1,2,2,11
LGAV,2024-01-09,DEP,223,0,0,0,0,0,0,0,0,0,1,5,17,55,46,31,19,19,6,1,3,2,3,3,1,1,10
LGAV,2024-01-10,ARR,237,1,1,0,0,0,0,1,3,9,20,40,36,33,24,20,10,5,5,5,7,3,3,2,2,0,7
LGAV,2024-01-10,DEP,236,0,0,0,0,0,0,0,0,0,2,6,24,49,66,26,18,10,7,4,8,2,2,3,1,2,6
LGAV,2024-01-11,ARR,236,1,0,0,0,1,0,3,5,18,29,29,41,40,17,5,12,8,5,5,5,3,1,1,1,1,5
LGAV,2024-01-11,DEP,239,0,0,0,0,0,0,0,0,0,2,15,35,67,42,26,16,9,8,5,3,4,1,0,2,0,4
LGAV,2024-01-12,ARR,271,1,0,0,0,1,1,3,6,13,23,46,38,35,27,22,11,7,8,8,7,0,3,2,0,0,9
LGAV,2024-01-12,DEP,273,1,0,0,0,1,0,0,0,0,1,8,32,49,63,40,30,13,9,3,4,4,3,0,1,1,10
LGAV,2024-01-13,ARR,205,0,0,0,0,1,0,4,5,20,34,34,35,21,14,6,4,9,5,5,3,2,1,0,1,0,1
LGAV,2024-01-13,DEP,203,0,0,0,0,0,0,0,0,0,2,11,25,68,49,16,12,5,6,2,1,1,1,0,2,0,2
LGAV,2024-01-14,ARR,250,0,0,1,1,3,2,2,8,21,36,41,33,31,19,11,11,9,8,5,3,3,0,0,0,0,2
LGAV,2024-01-14,DEP,250,0,0,0,1,0,0,0,0,0,1,10,41,65,45,31,22,7,9,5,6,2,2,1,1,0,1
LGAV,2024-01-15,ARR,250,0,0,0,0,0,1,5,7,18,32,47,47,21,27,12,9,5,2,3,3,1,3,0,0,1,6
LGAV,2024-01-15,DEP,250,0,0,0,0,0,1,0,1,1,1,15,36,74,57,25,12,4,5,4,1,3,0,2,1,1,6
LGAV,2024-01-16,ARR,203,1,0,0,0,1,3,6,9,19,39,31,30,29,8,6,8,2,3,0,1,1,2,0,1,0,3
LGAV,2024-01-16,DEP,209,0,0,0,0,0,0,0,1,0,5,11,37,62,34,26,12,6,4,3,0,1,0,1,1,0,5
LGAV,2024-01-17,ARR,219,0,1,0,0,1,3,5,11,20,22,40,26,25,12,9,7,9,3,2,2,0,5,0,2,2,12
LGAV,2024-01-17,DEP,219,1,0,0,0,0,0,0,0,0,4,13,32,61,42,15,12,14,3,4,3,2,1,1,0,1,10
