ICAO,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
EGLL,2024-01-01,ARR,543,1,0,4,2,10,9,10,13,26,41,63,64,82,60,35,29,18,12,11,15,8,6,2,3,1,18
EGLL,2024-01-01,DEP,550,0,0,0,0,0,0,0,0,1,3,42,86,151,80,40,37,36,15,18,6,9,2,1,2,0,21
EGLL,2024-01-02,ARR,610,1,0,1,3,0,0,10,4,5,12,19,32,30,38,29,41,42,40,29,30,28,30,30,24,16,116
EGLL,2024-01-02,DEP,611,0,0,0,0,0,0,0,0,0,1,7,35,78,73,54,62,36,26,33,26,25,25,15,15,8,92
EGLL,2024-01-03,ARR,623,0,1,0,0,1,4,3,10,8,17,24,59,63,55,47,55,63,28,38,29,24,10,18,10,6,50
EGLL,2024-01-03,DEP,625,0,0,0,0,0,0,0,0,0,3,7,36,92,104,51,86,37,39,35,32,23,19,16,5,5,35
EGLL,2024-01-04,ARR,640,0,0,0,1,0,1,4,12,16,36,40,56,56,68,47,51,50,44,39,25,15,16,12,8,5,38
EGLL,2024-01-04,DEP,643,0,0,0,0,0,0,0,0,0,1,3,64,101,91,74,67,50,39,27,30,21,19,11,7,5,33
EGLL,2024-01-05,ARR,634,0,0,0,0,2,0,6,19,34,67,81,77,73,64,37,49,17,16,22,12,12,3,7,9,1,26
EGLL,2024-01-05,DEP,636,0,0,0,0,0,0,0,0,1,3,23,101,172,109,56,48,36,20,11,10,6,5,4,9,5,17
EGLL,2024-01-06,ARR,598,0,0,0,0,2,0,9,17,27,46,63,67,66,64,33,40,34,18,20,18,9,13,8,7,5,32
EGLL,2024-01-06,DEP,600,0,0,0,0,0,0,1,0,0,3,15,57,146,103,62,66,34,26,17,11,9,3,4,4,3,36
EGLL,2024-01-07,ARR,641,0,0,0,0,2,2,3,11,21,29,39,61,82,61,49,50,35,24,32,23,14,12,9,11,8,63
EGLL,2024-01-07,DEP,633,0,0,0,0,0,0,0,0,0,1,19,65,150,105,55,57,38,33,22,12,10,11,5,5,6,39
EGLL,2024-01-08,ARR,625,0,1,0,0,0,3,1,5,10,22,34,49,53,59,41,63,44,46,30,29,18,22,11,11,13,60
