ICAO,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
LPPT,2019-01-01,ARR,264,0,0,0,0,1,1,0,4,8,23,36,54,56,35,13,7,9,4,1,2,2,0,1,0,3,4
LPPT,2019-01-01,DEP,269,0,0,0,0,0,0,0,0,0,1,5,24,65,79,45,21,9,3,6,4,2,0,1,0,0,4
LPPT,2019-01-02,ARR,292,0,0,0,0,0,0,1,0,10,9,31,41,58,42,22,19,20,10,7,5,1,4,2,1,0,9
LPPT,2019-01-02,DEP,298,0,0,0,0,0,0,0,0,1,2,2,9,46,74,44,42,29,13,5,7,3,4,3,3,0,11
LPPT,2019-01-03,ARR,271,0,0,0,0,0,0,0,0,2,4,3,6,12,12,18,6,11,10,7,5,4,4,12,5,3,147
LPPT,2019-01-03,DEP,279,0,0,0,0,0,0,0,0,0,0,1,0,3,11,10,9,15,8,10,7,13,10,11,11,14,146
LPPT,2019-01-04,ARR,312,0,0,0,0,0,3,1,4,5,11,9,15,21,17,17,26,14,11,9,14,11,3,9,8,5,99
LPPT,2019-01-04,DEP,307,0,0,0,0,0,0,0,0,0,0,0,5,10,20,26,25,25,31,34,20,11,11,9,10,4,66
LPPT,2019-01-05,ARR,280,0,0,0,0,0,0,2,2,3,14,27,24,37,24,22,19,17,20,7,11,9,10,8,4,3,17
LPPT,2019-01-05,DEP,277,0,0,0,0,0,0,0,0,0,0,3,4,31,56,45,37,21,13,15,8,9,5,4,6,6,14
LPPT,2019-01-06,ARR,288,0,0,0,0,0,1,1,5,7,14,37,42,36,42,22,17,21,14,9,6,1,2,2,0,1,8
LPPT,2019-01-06,DEP,289,0,0,0,0,0,0,0,0,0,0,3,11,35,69,45,39,22,21,9,9,5,5,4,2,2,8
LPPT,2019-01-07,ARR,292,1,0,0,0,1,0,3,6,15,23,25,35,32,32,19,29,16,6,5,7,7,3,6,5,1,15
LPPT,2019-01-07,DEP,285,0,0,0,0,0,0,0,0,0,1,3,8,37,64,62,31,17,18,10,4,6,3,6,2,2,11
LPPT,2019-01-08,ARR,264,1,0,0,0,1,0,2,6,12,19,31,39,40,23,22,15,11,11,3,5,4,4,0,2,4,9
LPPT,2019-01-08,DEP,260,0,0,0,0,0,0,0,0,0,2,2,10,45,61,42,37,16,8,8,4,4,5,4,2,1,9
LPPT,2019-01-09,ARR,258,1,1,0,0,1,0,1,3,14,18,39,54,30,28,16,18,10,7,5,3,3,1,1,0,0,4
LPPT,2019-01-09,DEP,266,0,0,0,0,0,0,0,0,0,0,8,17,73,70,42,18,9,6,7,5,2,2,1,1,0,5
LPPT,2019-01-10,ARR,261,1,0,0,0,0,1,3,8,11,19,34,44,39,29,24,17,4,6,5,6,2,1,0,2,1,4
LPPT,2019-01-10,DEP,259,0,0,0,0,0,0,0,0,0,0,0,18,70,68,37,26,14,9,3,2,3,3,1,0,0,5
LPPT,2019-01-11,ARR,283,0,0,0,0,0,0,3,2,10,22,43,39,42,25,23,16,7,7,9,8,2,3,6,3,2,11
LPPT,2019-01-11,DEP,286,0,0,0,0,0,0,0,0,0,0,5,11,66,80,38,32,9,12,5,3,4,3,4,3,0,11
LPPT,2019-01-12,ARR,257,0,0,0,0,1,0,5,8,17,34,41,45,34,25,16,8,4,5,2,0,1,2,4,1,1,3
LPPT,2019-01-12,DEP,254,0,0,0,0,0,0,0,0,0,2,2,29,75,63,35,16,16,6,2,0,0,1,1,3,1,2
LPPT,2019-01-13,ARR,272,0,0,0,0,1,1,4,12,18,28,31,45,54,23,20,12,9,5,3,1,1,1,2,0,0,1
LPPT,2019-01-13,DEP,274,0,0,0,0,0,0,0,0,0,1,4,25,79,88,31,21,14,4,3,1,0,1,1,1,0,0
LPPT,2019-01-14,ARR,275,0,0,0,0,0,3,2,3,7,21,38,43,49,36,29,17,8,3,5,2,2,2,1,1,1,2
LPPT,2019-01-14,DEP,267,0,0,0,0,0,0,0,0,0,1,2,24,62,84,42,23,8,7,4,3,1,2,1,0,1,2
LPPT,2019-01-15,ARR,239,0,0,0,0,0,0,1,1,8,8,15,18,28,25,18,11,14,13,15,8,13,13,1,3,5,21
LPPT,2019-01-15,DEP,235,0,0,0,0,0,0,0,0,1,2,4,13,48,39,24,14,11,11,12,7,7,8,5,10,5,14
LPPT,2019-01-16,ARR,237,0,0,0,0,0,1,0,0,5,3,11,11,14,15,17,12,8,11,7,7,6,5,7,13,12,72
LPPT,2019-01-16,DEP,247,0,0,0,0,0,0,0,0,0,0,3,14,32,27,17,15,13,11,14,15,10,4,7,10,7,48
LPPT,2019-01-17,ARR,254,0,0,0,0,0,0,0,4,15,21,34,39,39,33,20,11,10,7,2,5,1,0,3,2,2,6
LPPT,2019-01-17,DEP,252,0,0,0,0,0,0,0,0,0,0,8,21,93,62,29,15,6,6,1,2,1,0,2,0,1,5
LPPT,2019-01-18,ARR,279,0,0,0,0,0,0,0,4,3,17,23,41,50,28,37,23,11,13,6,7,2,3,1,0,2,8
LPPT,2019-01-18,DEP,283,0,0,0,0,0,0,0,0,0,0,7,23,64,74,36,23,22,8,7,5,0,3,2,3,0,6
LPPT,2019-01-19,ARR,242,0,0,0,0,0,0,0,1,9,9,14,21,34,19,24,15,16,10,11,8,11,10,5,8,3,14
LPPT,2019-01-19,DEP,237,0,0,0,0,0,0,0,0,0,1,8,18,42,29,32,25,17,12,9,8,6,6,2,5,2,15
LPPT,2019-01-20,ARR,273,0,0,0,0,0,1,2,1,8,18,41,45,60,28,21,15,8,7,2,2,3,2,1,3,2,3
LPPT,2019-01-20,DEP,279,0,0,0,0,0,0,0,0,1,2,7,30,73,65,39,19,17,8,6,1,2,0,1,1,2,5
LPPT,2019-01-21,ARR,274,0,0,0,0,0,1,2,5,8,27,43,52,35,27,24,12,13,3,1,4,1,0,2,1,1,12
LPPT,2019-01-21,DEP,265,0,0,0,0,0,0,0,0,0,1,8,20,74,76,39,21,5,8,3,1,2,1,0,0,0,6
LPPT,2019-01-22,ARR,240,0,0,0,0,0,1,3,11,9,16,33,32,36,14,28,12,7,8,7,2,2,0,2,2,2,13
LPPT,2019-01-22,DEP,232,0,0,0,0,0,1,0,0,0,2,8,26,70,54,29,14,4,7,1,2,1,1,2,1,1,8
LPPT,2019-01-23,ARR,241,0,0,0,0,1,3,2,9,14,18,31,35,31,27,21,12,8,3,4,5,4,4,1,0,2,6
LPPT,2019-01-23,DEP,251,0,0,0,0,0,0,0,0,1,1,5,43,68,58,30,14,10,5,3,1,1,1,2,2,1,5
LPPT,2019-01-24,ARR,249,0,0,0,0,0,1,1,8,13,25,29,35,31,27,15,12,14,6,7,3,4,2,5,3,2,6
LPPT,2019-01-24,DEP,251,0,0,0,0,0,0,0,0,0,1,12,35,79,52,24,11,13,1,6,4,2,1,0,1,0,9
LPPT,2019-01-25,ARR,283,1,0,0,0,0,2,4,5,4,24,24,40,49,25,16,34,12,14,4,5,1,5,1,3,4,6
LPPT,2019-01-25,DEP,285,0,0,0,0,0,0,0,0,1,1,3,27,56,74,47,30,12,12,3,3,5,3,0,2,0,6
LPPT,2019-01-26,ARR,243,0,0,0,1,2,2,2,1,10,25,26,31,40,22,25,15,13,7,2,2,3,3,0,2,3,6
LPPT,2019-01-26,DEP,237,0,0,0,0,0,0,0,0,0,0,10,30,77,47,21,18,13,5,4,3,2,1,0,0,0,6
LPPT,2019-01-27,ARR,262,0,0,0,0,1,2,8,5,9,26,35,44,43,36,18,8,9,4,2,3,1,0,2,0,1,5
LPPT,2019-01-27,DEP,269,0,0,0,0,0,0,0,1,0,1,6,24,74,64,46,25,9,5,4,0,0,3,2,1,0,4
LPPT,2019-01-28,ARR,270,1,0,1,1,0,3,6,2,10,26,32,49,39,25,24,12,13,3,4,3,4,3,0,2,0,7
LPPT,2019-01-28,DEP,261,0,0,0,0,0,0,0,0,0,0,9,37,73,78,27,14,9,6,3,3,0,0,0,0,1,1
LPPT,2019-01-29,ARR,244,1,0,0,0,2,1,2,4,8,9,22,36,39,31,17,22,10,11,8,2,3,1,2,0,2,11
LPPT,2019-01-29,DEP,241,0,0,0,0,0,0,0,0,1,3,7,27,60,58,23,19,8,7,4,6,2,2,3,1,0,10
LPPT,2019-01-30,ARR,239,1,0,0,0,0,0,1,1,9,18,26,36,28,38,18,15,7,6,7,10,4,2,1,1,1,9
LPPT,2019-01-30,DEP,248,0,0,0,0,0,0,0,0,0,1,5,19,70,66,30,15,10,6,9,3,1,2,0,1,1,9
LPPT,2019-01-31,ARR,263,0,0,0,0,0,1,4,1,5,5,12,18,24,36,27,23,23,24,13,11,9,3,4,3,3,14
LPPT,2019-01-31,DEP,259,0,0,0,0,0,0,0,0,0,0,2,12,34,49,35,27,17,15,17,15,9,4,6,0,2,15
LPPT,2019-02-01,ARR,266,0,0,0,1,0,1,0,2,4,3,10,8,10,15,14,12,13,13,11,12,12,13,17,9,13,73
LPPT,2019-02-01,DEP,273,0,0,0,0,0,0,0,0,0,0,1,7,17,30,26,18,19,15,14,12,7,15,8,10,8,66
LPPT,2019-02-02,ARR,257,0,0,0,0,0,1,2,9,14,18,37,32,36,23,19,9,10,13,6,4,5,1,0,3,1,14
LPPT,2019-02-02,DEP,245,0,0,0,0,0,0,0,0,0,1,12,23,61,56,32,14,16,3,4,5,3,0,1,0,3,11
LPPT,2019-02-03,ARR,270,0,0,0,0,2,2,4,1,13,32,38,44,31,25,17,19,11,7,2,8,0,3,2,1,0,8
