REG,ICAO,DATE,YEAR,MONTH,RANGE,MVTS_VALID,MVTS_NA,TOT_ASMA,TOT_REF,TOT_ADD_TIME,AVG_ASMA,AVG_REF,AVG_ADD_TIME
EUR,LFPG,2023-01-01,2023,2023-01-01,C40,13592,128,215024.58333,178934.49583,36090.0875,15.819936972483813,13.164692159358447,2.655244813125368
EUR,EDDF,2023-01-01,2023,2023-01-01,C40,13073,98,213318.73333000002,167556.4375,45762.29583,16.31750427063413,12.816984433565363,3.500519837068768
EUR,EDDM,2023-01-01,2023,2023-01-01,C40,9285,0,131346.43333,106607.88583,24738.5475,14.146088673128702,11.481732453419493,2.6643562197092083
EUR,LGAV,2023-01-01,2023,2023-01-01,C40,5565,186,75763.56667,60305.08667,15458.48,13.614297694519317,10.836493561545373,2.777804132973944
EUR,EHAM,2023-01-01,2023,2023-01-01,C40,13691,58,196370.88333,160453.44583,35917.4375,14.343063569498211,11.71962937915419,2.6234341903440215
EUR,LPPT,2023-01-01,2023,2023-01-01,C40,7032,4,112791.68334,89372.22917,23419.45417,16.039772943686007,12.709361372298067,3.3304115713879408
EUR,LEBL,2023-01-01,2023,2023-01-01,C40,8537,142,116423.88333000001,97859.975,18563.90833,13.637563936980206,11.463040295185664,2.1745236417945413
EUR,LEMD,2023-01-01,2023,2023-01-01,C40,12255,101,175228.25,139861.37,35366.88,14.298510811913504,11.41259649122807,2.8859143206854343
EUR,LSZH,2023-01-01,2023,2023-01-01,C40,7277,45,109770.90000000001,86726.52667,23044.37333,15.084636526040953,11.917895653428612,3.16674087261234
EUR,LTFM,2023-01-01,2023,2023-01-01,C40,13040,170,215789.28333,163481.31,52307.97333,16.548257924079756,12.53691027607362,4.011347648006135
EUR,EGKK,2023-01-01,2023,2023-01-01,C40,6430,2,104227.25,81642.51667,22584.73333,16.20952566096423,12.697125454121306,3.5124002068429236
EUR,EGLL,2023-01-01,2023,2023-01-01,C40,15470,36,314306.73334,199987.71667,114319.01667,20.31717733290239,12.927454212669684,7.389723120232708
EUR,LFPG,2023-02-01,2023,2023-02-01,C40,12564,107,196001.85,168462.59167,27539.25833,15.60027459407832,13.408356548073861,2.1919180460044574
EUR,EDDF,2023-02-01,2023,2023-02-01,C40,12029,67,190591.5,155595.60333,34995.89667,15.844334524898162,12.935040596059524,2.90929392883864
EUR,EDDM,2023-02-01,2023,2023-02-01,C40,8864,0,126379.95000000001,100972.65833,25407.29167,14.257665839350182,11.39131975744585,2.866346081904332
EUR,LGAV,2023-02-01,2023,2023-02-01,C40,5018,99,70378.88333,55020.065,15358.81833,14.025285637704265,10.964540653646871,3.0607449840573935
EUR,EHAM,2023-02-01,2023,2023-02-01,C40,13091,39,181337.36667000002,152409.94417,28927.4225,13.852063759071118,11.64234544114277,2.2097183179283477
EUR,LPPT,2023-02-01,2023,2023-02-01,C40,6553,7,104308.08333000001,84608.22083,19699.862500000003,15.917607710972074,12.911372017396612,3.006235693575462
EUR,LEBL,2023-02-01,2023,2023-02-01,C40,8473,264,118390.46667,97837.72417,20552.7425,13.972673984421101,11.546999193910068,2.425674790511035
EUR,LEMD,2023-02-01,2023,2023-02-01,C40,11029,64,155333,126363.92833,28969.07167,14.084051137909148,11.457423912412729,2.6266272254964185
EUR,LSZH,2023-02-01,2023,2023-02-01,C40,6737,28,100387.41667,79985.53917,20401.8775,14.900907921923706,11.87257520706546,3.0283327148582453
EUR,LTFM,2023-02-01,2023,2023-02-01,C40,11289,50,192984.58333,142524.29,50460.29333,17.094922785897776,12.625058906900524,4.469863878997254
EUR,EGKK,2023-02-01,2023,2023-02-01,C40,6642,0,108948.38334,84392.69417,24555.68917,16.402948410117435,12.705916014754592,3.6970323953628426
EUR,EGLL,2023-02-01,2023,2023-02-01,C40,12084,39,279044.48333,158254.58833,120789.895,23.092062506620326,13.096208898543528,9.995853608076796
