DATE,FLTS,D,A,I,O,J,H,M,L,NN,MAINLINE,LOW_COST,REGIONAL,CHARTER,ALL_CARGO,BUSINESS_AVIATION,MILITARY,OTHER_SEGMENT,MS_NA,SCHED,CARGO,OTHER,REG
2023-01-01,20119,2213,2199,15157,550,94,2826,16888,311,0,16300,0,2225,664,0,671,62,181,16,18525,0,930,EUR
2023-01-02,24228,2252,2315,19071,590,100,2937,20170,1021,0,17691,0,3032,1331,0,1576,172,411,15,20723,0,2174,EUR
2023-01-03,22769,2262,2270,17656,581,96,3011,18523,1138,1,16533,0,2851,1218,0,1412,258,475,22,19384,0,2167,EUR
2023-01-04,22717,2219,2239,17649,610,101,3069,18396,1151,0,16586,0,2910,1059,0,1286,406,450,20,19496,0,2162,EUR
2023-01-05,23326,2335,2383,18039,569,99,3166,18772,1288,1,17037,0,2974,1105,0,1233,416,540,21,20011,0,2210,EUR
2023-01-06,23933,2366,2336,18702,529,101,3061,19614,1157,0,17913,0,2975,964,0,1360,240,469,12,20888,0,2081,EUR
2023-01-07,21453,2418,2414,16080,541,100,3034,17403,916,0,16266,0,2244,1082,0,1327,129,385,20,18510,0,1861,EUR
2023-01-08,23253,2393,2508,17752,600,103,3093,19329,727,1,17601,0,2863,1061,0,1260,141,306,21,20464,0,1728,EUR
2023-01-09,22977,2157,2226,18035,559,98,2985,18810,1083,1,16676,0,3143,1035,0,1291,369,443,20,19819,0,2123,EUR
2023-01-10,20813,2127,2080,16056,550,97,3018,16400,1298,0,14473,0,2877,1077,1,1446,454,468,17,17350,1,2385,EUR
2023-01-11,21115,2090,2120,16328,577,101,3011,16488,1514,1,14426,0,2984,1056,0,1552,522,554,21,17410,0,2649,EUR
2023-01-12,22198,2219,2237,17209,533,97,3083,17536,1481,1,15260,0,3080,1131,0,1670,510,533,14,18340,0,2727,EUR
2023-01-13,23602,2188,2195,18723,496,99,3056,19088,1359,0,17017,0,3170,1058,0,1527,339,477,14,20187,0,2357,EUR
2023-01-14,19639,2281,2245,14619,494,98,3011,15773,756,1,15078,0,2106,904,0,1071,150,323,7,17184,0,1551,EUR
2023-01-15,21794,2273,2392,16573,556,101,3019,18022,651,1,16601,0,2803,818,0,1125,146,291,10,19404,0,1572,EUR
2023-01-16,22286,2058,2195,17526,507,97,2951,18197,1041,0,15844,0,3166,947,0,1506,406,409,8,19010,0,2329,EUR
2023-01-17,20146,2022,2003,15607,514,99,2896,15866,1285,0,13768,0,2865,1021,0,1493,464,523,12,16633,0,2492,EUR
2023-01-18,20722,2021,2016,16153,532,97,2968,16190,1467,0,14104,0,2995,942,0,1579,521,560,21,17099,0,2681,EUR
2023-01-19,21601,2164,2189,16750,498,98,3066,17138,1298,1,14785,0,3064,1092,0,1694,485,463,18,17849,0,2660,EUR
2023-01-20,24114,2256,2180,19198,480,99,3072,19541,1401,1,16813,0,3275,1181,0,1861,451,511,22,20088,0,2845,EUR
2023-01-21,19559,2283,2201,14612,463,101,2926,15764,768,0,14820,0,2119,989,0,1082,177,353,19,16939,0,1631,EUR
