ICAO,PHASE,DATE,MVTS_VALID,MVTS_NA,TOT_TXXT,TOT_REF,TOT_ADD_TIME
EDDF,ARR,2024-01-01,405,2,3684.666666666663,3135.896666666665,548.7700000000002
EDDF,ARR,2024-01-02,498,1,5457.216666666667,4383.596666666665,1073.6200000000003
EDDF,ARR,2024-01-03,513,2,5083.516666666664,4289.243333333332,794.2733333333338
EDDF,ARR,2024-01-04,527,4,4954.616666666665,4230.813333333335,723.803333333333
EDDF,ARR,2024-01-05,548,3,5200.799999999999,4305.469999999997,895.3299999999999
EDDF,ARR,2024-01-06,525,3,5119.7999999999975,4125.313333333331,994.486666666666
EDDF,ARR,2024-01-07,547,2,5248.433333333341,4220.3499999999995,1028.083333333333
EDDF,ARR,2024-01-08,541,0,4941.650000000002,3988.926666666666,952.7233333333334
EDDF,ARR,2024-01-09,507,3,4568.366666666668,3763.6999999999985,804.6666666666666
EDDF,ARR,2024-01-10,524,1,4730.283333333339,3850.4000000000024,879.8833333333337
EDDF,ARR,2024-01-11,528,0,4667.416666666665,3852.143333333328,815.2733333333334
EDDF,ARR,2024-01-12,552,0,5316.399999999997,4435.180000000008,881.2200000000012
EDDF,ARR,2024-01-13,501,0,4944.500000000004,4151.81,792.69
EDDF,ARR,2024-01-14,551,0,5660.999999999999,4737.293333333335,923.7066666666668
EDDF,ARR,2024-01-15,512,0,5480.799999999994,4155.689999999997,1325.1099999999988
EDDF,ARR,2024-01-16,478,3,4613.700000000002,3734.9133333333352,878.7866666666663
EDDF,ARR,2024-01-17,177,5,1727.766666666667,1317.7433333333342,410.0233333333332
EDDF,ARR,2024-01-18,340,7,4627.366666666661,2659.603333333333,1967.763333333333
EDDF,ARR,2024-01-19,522,1,5721.833333333334,4291.203333333336,1430.6300000000008
EDDF,ARR,2024-01-20,496,1,5418.133333333333,4313.483333333334,1104.65
EDDF,ARR,2024-01-21,525,1,5672.516666666672,4502.119999999998,1170.3966666666663
EDDF,ARR,2024-01-22,516,0,5327.383333333338,4322.73,1004.6533333333342
EDDF,ARR,2024-01-23,484,0,4705.716666666668,3877.7433333333342,827.9733333333331
EDDF,ARR,2024-01-24,496,2,4972.116666666669,4121.106666666667,851.0099999999999
EDDF,ARR,2024-01-25,523,0,4875.949999999995,4105.406666666667,770.5433333333334
EDDF,ARR,2024-01-26,536,1,5518.549999999998,4601.216666666667,917.3333333333334
EDDF,ARR,2024-01-27,509,0,4833.033333333333,3908.7933333333344,924.2400000000008
EDDF,ARR,2024-01-28,532,0,4871.48333333333,3957.129999999998,914.353333333333
EDDF,ARR,2024-01-29,530,0,5219.016666666671,4227.253333333331,991.7633333333332
EDDF,ARR,2024-01-30,488,1,4653.449999999998,3752.723333333334,900.726666666666
EDDF,ARR,2024-01-31,519,0,5012.5499999999965,4014.7400000000016,997.8099999999994
EDDF,ARR,2024-02-01,399,1,3227.9000000000015,2903.823333333334,324.07666666666665
EDDF,ARR,2024-02-02,556,1,5674.416666666668,4407.429999999996,1266.9866666666674
EDDF,ARR,2024-02-03,514,0,4912.433333333338,4173.469999999999,738.9633333333318
