YEAR,ICAO,TOT_MOV_YEAR,TOT_MOV_ALL,SHARE
2023,SBBR,148776,2916691,5.100848872917974
2023,SBCF,98958,2916691,3.392817408494763
2023,SBCT,60566,2916691,2.0765312472250232
2023,SBEG,40557,2916691,1.3905141134251109
2023,SBGL,63378,2916691,2.172941871456387
2023,SBGR,276809,2916691,9.49051510770253
2023,SBKP,126113,2916691,4.323838212549769
2023,SBPA,72940,2916691,2.5007791363569196
2023,SBRF,87363,2916691,2.9952778679675016
2023,SBRJ,123234,2916691,4.225130464625837
2023,SBSP,232374,2916691,7.967042103534451
2023,SBSV,77657,2916691,2.6625035013993594
2024,SBBR,147957,2965979,4.988470923091499
2024,SBCF,114177,2965979,3.8495552396021684
2024,SBCT,60809,2965979,2.0502168086827317
2024,SBEG,45602,2965979,1.5375024570302083
2024,SBGL,109606,2965979,3.6954408645509624
2024,SBGR,289944,2965979,9.775659234269698
2024,SBKP,122286,2965979,4.1229556918643055
2024,SBPA,32383,2965979,1.0918148779880101
2024,SBRF,92839,2965979,3.1301300514939587
2024,SBRJ,73687,2965979,2.4844073407127967
2024,SBSP,234689,2965979,7.91269931445907
2024,SBSV,80053,2965979,2.6990413620595426
2025,SBBR,157135,3066429,5.124364529555389
2025,SBCF,118272,3066429,3.85699456925303
2025,SBCT,62413,3066429,2.035364262469472
2025,SBEG,46713,3066429,1.5233680610247295
2025,SBGL,129551,3066429,4.224816553717696
2025,SBGR,306225,3066429,9.986371769899122
2025,SBKP,124788,3066429,4.069489298464109
2025,SBPA,67365,3066429,2.1968550388742085
2025,SBRF,84865,3066429,2.7675514417584752
2025,SBRJ,74296,3066429,2.4228834256394003
2025,SBSP,214916,3066429,7.008673606987151
2025,SBSV,83064,3066429,2.7088186290959286
