REGION,DATE,PAIR_GROUP,ADEP,ADES,GCD,HFE_TYPE,N,N_VALID,N_NEG,N_HIGH,DIST_FLOWN,DIST_ACHIEVED,HFE
BRA,2025-01-01,mid_600,SBBR,SBCT,584.8583379614529,KEA,1,0,0,1,0,0,NA
BRA,2025-01-01,mid_600,SBBR,SBCT,584.8583379614529,KEP,2,2,0,0,1030536676571876,1015389477005664,0.014917625117487399
BRA,2025-01-01,mid_600,SBBR,SBSV,586.3758875222663,KEA,1,1,0,0,526869121037204,508417727770367,0.03629179758887324
BRA,2025-01-01,mid_600,SBBR,SBSV,586.3758875222663,KEP,7,7,0,0,3606349880212611,3557098215378694,0.013846023317822143
BRA,2025-01-01,short,SBCF,SBKP,269.28925025382233,KEA,3,3,0,0,652495062572579,588866697278195,0.10805223930726782
BRA,2025-01-01,short,SBCF,SBKP,269.28925025382233,KEP,7,7,0,0,1441303013834457,1346945883692311,0.07005265117518289
BRA,2025-01-01,short,SBCF,SBSP,283.04103298142775,KEA,13,8,3,2,1988503987282713,1767245063916395,0.125199910235418
BRA,2025-01-01,short,SBCF,SBSP,283.04103298142775,KEP,16,16,0,0,3732405104638928,3386485339751248,0.10214713196221581
BRA,2025-01-01,mid_600,SBCT,SBBR,584.8583379614529,KEP,3,0,3,0,0,0,NA
BRA,2025-01-01,long,SBEG,SBGR,1458.0313410919498,KEP,4,4,0,0,560129474033344,552303506014652,0.014169687379251172
BRA,2025-01-01,long,SBGL,SBEG,1539.2845825162146,KEP,1,1,0,0,147533420914537,146522600568265,0.0068987333172609855
BRA,2025-01-01,mid_600,SBGL,SBPA,606.3544314361131,KEP,4,4,0,0,2125043856086502,2110976377792554,0.006663967651148406
BRA,2025-01-01,long,SBGR,SBEG,1458.0313410919498,KEP,4,4,0,0,555136967008348,552171419312192,0.005370701185240634
BRA,2025-01-01,mid_780_800,SBGR,SBSV,784.674867865583,KEP,7,7,0,0,4934169102143477,4933203142194943,1.9580785965844782e-4
BRA,2025-01-01,short,SBKP,SBCF,269.28925025382233,KEA,8,6,1,1,1226409388047692,1146564359670392,0.06963850542175698
BRA,2025-01-01,short,SBKP,SBCF,269.28925025382233,KEP,8,8,0,0,1591786560724680,1543656449445544,0.031179289469767335
BRA,2025-01-01,mid_780_800,SBKP,SBSV,788.3112486941457,KEA,2,2,0,0,1449609980506756,1418278713987897,0.02209105037666559
BRA,2025-01-01,mid_780_800,SBKP,SBSV,788.3112486941457,KEP,3,3,0,0,2148252846296373,2132200061070402,0.007528742503605468
BRA,2025-01-01,mid_600,SBPA,SBGL,606.3544314361131,KEP,5,5,0,0,2637737418134860,2631998944354010,0.002180272067798361
BRA,2025-01-01,short,SBSP,SBCF,283.04103298142775,KEA,5,5,0,0,1076012083472319,1033519569116031,0.04111437811732177
BRA,2025-01-01,short,SBSP,SBCF,283.04103298142775,KEP,15,15,0,0,3065640970622940,3050679490013265,0.00490431087849541
BRA,2025-01-01,mid_780_800,SBSP,SBSV,800.2384025934579,KEA,1,0,0,1,0,0,NA
BRA,2025-01-01,mid_780_800,SBSP,SBSV,800.2384025934579,KEP,12,12,0,0,8642849888793660,8640946897289232,2.2022951038214167e-4
BRA,2025-01-01,mid_600,SBSV,SBBR,586.3758875222663,KEP,4,4,0,0,2082052079265828,2040023161973516,0.020602176522178883
BRA,2025-01-01,mid_780_800,SBSV,SBGR,784.674867865583,KEA,4,3,0,1,2197020653228669,2126314067023276,0.033253124409969415
BRA,2025-01-01,mid_780_800,SBSV,SBGR,784.674867865583,KEP,10,1,9,0,736873411001658,713298142292461,0.03305107263202545
BRA,2025-01-01,mid_780_800,SBSV,SBKP,788.3112486941457,KEA,2,1,0,1,732073012061285,709330271135374,0.032062273177074996
BRA,2025-01-01,mid_780_800,SBSV,SBKP,788.3112486941457,KEP,2,0,0,2,0,0,NA
BRA,2025-01-01,mid_780_800,SBSV,SBSP,800.2384025934579,KEA,1,1,0,0,786758681899816,738631319682966,0.06515748917539432
BRA,2025-01-01,mid_780_800,SBSV,SBSP,800.2384025934579,KEP,12,11,1,0,8222196094039796,7988518397939189,0.029251694051413812
BRA,2025-01-02,mid_600,SBBR,SBCT,584.8583379614529,KEA,1,1,0,0,530465165053799,507640118203073,0.044963047703009185
BRA,2025-01-02,mid_600,SBBR,SBCT,584.8583379614529,KEP,4,4,0,0,2061073353143752,2030778954011328,0.014917625117487399
BRA,2025-01-02,mid_600,SBBR,SBSV,586.3758875222663,KEA,2,1,0,1,526355298880597,508617348511952,0.034874843377915576
BRA,2025-01-02,mid_600,SBBR,SBSV,586.3758875222663,KEP,7,7,0,0,3606349880212611,3557098215378694,0.013846023317822143
BRA,2025-01-02,short,SBCF,SBKP,269.28925025382233,KEA,4,2,1,1,396092024578263,382080311586298,0.03667216699492326
BRA,2025-01-02,short,SBCF,SBKP,269.28925025382233,KEP,8,8,0,0,1647327285214732,1539366724219784,0.0701331003823451
BRA,2025-01-02,short,SBCF,SBSP,283.04103298142775,KEA,13,11,1,1,2804329172938456,2439534044385346,0.1495347561935838
BRA,2025-01-02,short,SBCF,SBSP,283.04103298142775,KEP,19,19,0,0,4434210357301587,4021451340954607,0.10263931634418322
BRA,2025-01-02,mid_600,SBCT,SBBR,584.8583379614529,KEP,4,0,4,0,0,0,NA
