REGION,DATE,HFE_TYPE,N,N_VALID,N_NEG,N_HIGH,DIST_FLOWN,DIST_ACHIEVED,HFE
BRA,2025-01-01,KEA,496,391,54,51,136518245524500300,1.3077088134410141e+17,0.04394987723051047
BRA,2025-01-01,KEP,698,618,52,28,186127977546923e3,182787528413227500,0.018275038580005232
BRA,2025-01-02,KEA,549,425,55,69,160438819866774100,152104024451252700,0.054796679085848954
BRA,2025-01-02,KEP,960,852,71,37,266454781020434300,262007737299750700,0.01697294807594152
BRA,2025-01-03,KEA,504,386,57,61,140221717995727980,133462809713458690,0.05064263442962513
BRA,2025-01-03,KEP,982,873,69,40,2.7487487588981802e+17,270277303900422240,0.01701057367025416
BRA,2025-01-04,KEA,509,415,53,41,155158569341310660,149207240921072480,0.039886324440422394
BRA,2025-01-04,KEP,863,767,58,38,244721683704355650,240933710543295460,0.0157220554671178
BRA,2025-01-05,KEA,511,390,62,59,143104617130334420,136519516232015710,0.04823560088747514
BRA,2025-01-05,KEP,849,752,60,37,235952769216611170,231928798554198900,0.0173500259023327
BRA,2025-01-06,KEA,555,442,60,53,155726461438882460,147573735091674500,0.05524510402981542
BRA,2025-01-06,KEP,995,890,66,39,282536689287515650,277789743963090600,0.017088267034998106
BRA,2025-01-07,KEA,590,468,52,70,171197433231109400,163140560825882900,0.049386077652543214
BRA,2025-01-07,KEP,991,884,68,39,2.8080344975944358e+17,276116639683613730,0.016974022576836445
BRA,2025-01-08,KEA,639,480,71,88,173143947574535500,164200351658032160,0.05446758077065206
BRA,2025-01-08,KEP,1020,917,68,35,285055968795680670,280274549734276130,0.01705976895132899
BRA,2025-01-09,KEA,574,452,67,55,160234360249550900,152184671939258180,0.05289421206299694
BRA,2025-01-09,KEP,999,889,74,36,281211523225394340,276510927936732100,0.016999672757012307
BRA,2025-01-10,KEA,254,205,25,24,75100629100290740,71735078993495270,0.04691637834678675
BRA,2025-01-10,KEP,991,883,67,41,2.7859615625822442e+17,273993580323780600,0.016798115959523185
BRA,2025-01-11,KEP,868,766,65,37,246422508436584860,242541627549477630,0.01600088581212944
BRA,2025-01-12,KEA,719,565,90,64,186227784628063870,180168313883878200,0.033632277582900105
BRA,2025-01-12,KEP,834,739,56,39,231445932164119360,227516303475131900,0.01727185537460607
BRA,2025-01-13,KEA,810,631,93,86,211607979346024030,204456699952088700,0.03497698728195808
BRA,2025-01-13,KEP,996,886,71,39,279244763522801730,274339050649368930,0.017881934277387046
BRA,2025-01-14,KEA,763,604,89,70,209415960512480800,203016936062144100,0.03151965828298153
BRA,2025-01-14,KEP,1003,883,76,44,2.8055248307519402e+17,275854836811282660,0.017029414159321465
