ADEP,ADES,LAT1,LON1,LAT,LON,GCD,REGION
SBGR,SBGR,-23.431274,-46.469954,-23.431274,-46.469954,0,BRA
SBGR,SBGL,-23.431274,-46.469954,-22.809999,-43.250557,181.83872880916059,BRA
SBGR,SBRJ,-23.431274,-46.469954,-22.910397,-43.16282,185.407170819496,BRA
SBGR,SBCF,-23.431274,-46.469954,-19.63571,-43.966928,267.62698335230897,BRA
SBGR,SBBR,-23.431274,-46.469954,-15.869167,-47.920834,461.8866786060721,BRA
SBGR,SBSV,-23.431274,-46.469954,-12.908611,-38.322498,784.674867865583,BRA
SBGR,SBKP,-23.431274,-46.469954,-23.007404,-47.134502,44.68404623343219,BRA
SBGR,SBSP,-23.431274,-46.469954,-23.627657,-46.654601,15.584815135471121,BRA
SBGR,SBCT,-23.431274,-46.469954,-25.5285,-49.1758,194.4139201719821,BRA
SBGR,SBPA,-23.431274,-46.469954,-29.993984,-51.167482,468.07328755025407,BRA
SBGR,SBRF,-23.431274,-46.469954,-8.12747,-34.922961,1135.2819927256696,BRA
SBGR,SBEG,-23.431274,-46.469954,-3.03861,-60.049702,1458.0313410919498,BRA
SBGL,SBGR,-22.809999,-43.250557,-23.431274,-46.469954,181.83872880916059,BRA
SBGL,SBGL,-22.809999,-43.250557,-22.809999,-43.250557,0,BRA
SBGL,SBRJ,-22.809999,-43.250557,-22.910397,-43.16282,7.748019756940708,BRA
SBGL,SBCF,-22.809999,-43.250557,-19.63571,-43.966928,194.9741155865271,BRA
SBGL,SBBR,-22.809999,-43.250557,-15.869167,-47.920834,494.05771393050827,BRA
SBGL,SBSV,-22.809999,-43.250557,-12.908611,-38.322498,658.3535761747892,BRA
SBGL,SBKP,-22.809999,-43.250557,-23.007404,-47.134502,215.3623149924433,BRA
SBGL,SBSP,-22.809999,-43.250557,-23.627657,-46.654601,194.3473797918045,BRA
SBGL,SBCT,-22.809999,-43.250557,-25.5285,-49.1758,363.63998592187465,BRA
SBGL,SBPA,-22.809999,-43.250557,-29.993984,-51.167482,606.3544314361131,BRA
SBGL,SBRF,-22.809999,-43.250557,-8.12747,-34.922961,1004.9854539128349,BRA
SBGL,SBEG,-22.809999,-43.250557,-3.03861,-60.049702,1539.2845825162146,BRA
SBRJ,SBGR,-22.910397,-43.16282,-23.431274,-46.469954,185.407170819496,BRA
SBRJ,SBGL,-22.910397,-43.16282,-22.809999,-43.250557,7.748019756940708,BRA
SBRJ,SBRJ,-22.910397,-43.16282,-22.910397,-43.16282,0,BRA
SBRJ,SBCF,-22.910397,-43.16282,-19.63571,-43.966928,201.91924178627966,BRA
SBRJ,SBBR,-22.910397,-43.16282,-15.869167,-47.920834,501.76920493333535,BRA
SBRJ,SBSV,-22.910397,-43.16282,-12.908611,-38.322498,661.6679658024693,BRA
SBRJ,SBKP,-22.910397,-43.16282,-23.007404,-47.134502,219.88839772527206,BRA
SBRJ,SBSP,-22.910397,-43.16282,-23.627657,-46.654601,197.56592272568412,BRA
SBRJ,SBCT,-22.910397,-43.16282,-25.5285,-49.1758,365.1889886618928,BRA
SBRJ,SBPA,-22.910397,-43.16282,-29.993984,-51.167482,605.2909469786108,BRA
SBRJ,SBRF,-22.910397,-43.16282,-8.12747,-34.922961,1007.8227308472481,BRA
SBRJ,SBEG,-22.910397,-43.16282,-3.03861,-60.049702,1547.021558197579,BRA
SBCF,SBGR,-19.63571,-43.966928,-23.431274,-46.469954,267.62698335230897,BRA
SBCF,SBGL,-19.63571,-43.966928,-22.809999,-43.250557,194.9741155865271,BRA
SBCF,SBRJ,-19.63571,-43.966928,-22.910397,-43.16282,201.91924178627966,BRA
SBCF,SBCF,-19.63571,-43.966928,-19.63571,-43.966928,0,BRA
SBCF,SBBR,-19.63571,-43.966928,-15.869167,-47.920834,320.096192344743,BRA
SBCF,SBSV,-19.63571,-43.966928,-12.908611,-38.322498,519.0462135184523,BRA
SBCF,SBKP,-19.63571,-43.966928,-23.007404,-47.134502,269.28925025382233,BRA
SBCF,SBSP,-19.63571,-43.966928,-23.627657,-46.654601,283.04103298142775,BRA
SBCF,SBCT,-19.63571,-43.966928,-25.5285,-49.1758,457.0677445022786,BRA
SBCF,SBPA,-19.63571,-43.966928,-29.993984,-51.167482,735.6954756796189,BRA
SBCF,SBRF,-19.63571,-43.966928,-8.12747,-34.922961,869.4006272757389,BRA
SBCF,SBEG,-19.63571,-43.966928,-3.03861,-60.049702,1373.4379754338509,BRA
SBBR,SBGR,-15.869167,-47.920834,-23.431274,-46.469954,461.8866786060721,BRA
SBBR,SBGL,-15.869167,-47.920834,-22.809999,-43.250557,494.05771393050827,BRA
SBBR,SBRJ,-15.869167,-47.920834,-22.910397,-43.16282,501.76920493333535,BRA
SBBR,SBCF,-15.869167,-47.920834,-19.63571,-43.966928,320.096192344743,BRA
SBBR,SBBR,-15.869167,-47.920834,-15.869167,-47.920834,0,BRA
SBBR,SBSV,-15.869167,-47.920834,-12.908611,-38.322498,586.3758875222663,BRA
SBBR,SBKP,-15.869167,-47.920834,-23.007404,-47.134502,431.3677844016289,BRA
SBBR,SBSP,-15.869167,-47.920834,-23.627657,-46.654601,471.8032324010498,BRA
SBBR,SBCT,-15.869167,-47.920834,-25.5285,-49.1758,584.8583379614529,BRA
SBBR,SBPA,-15.869167,-47.920834,-29.993984,-51.167482,867.6790520959942,BRA
SBBR,SBRF,-15.869167,-47.920834,-8.12747,-34.922961,894.1066891439798,BRA
SBBR,SBEG,-15.869167,-47.920834,-3.03861,-60.049702,1053.3438640755505,BRA
SBSV,SBGR,-12.908611,-38.322498,-23.431274,-46.469954,784.674867865583,BRA
SBSV,SBGL,-12.908611,-38.322498,-22.809999,-43.250557,658.3535761747892,BRA
SBSV,SBRJ,-12.908611,-38.322498,-22.910397,-43.16282,661.6679658024693,BRA
SBSV,SBCF,-12.908611,-38.322498,-19.63571,-43.966928,519.0462135184523,BRA
SBSV,SBBR,-12.908611,-38.322498,-15.869167,-47.920834,586.3758875222663,BRA
SBSV,SBSV,-12.908611,-38.322498,-12.908611,-38.322498,0,BRA
SBSV,SBKP,-12.908611,-38.322498,-23.007404,-47.134502,788.3112486941457,BRA
SBSV,SBSP,-12.908611,-38.322498,-23.627657,-46.654601,800.2384025934579,BRA
SBSV,SBCT,-12.908611,-38.322498,-25.5285,-49.1758,976.0376282157226,BRA
SBSV,SBPA,-12.908611,-38.322498,-29.993984,-51.167482,1251.0489810681881,BRA
SBSV,SBRF,-12.908611,-38.322498,-8.12747,-34.922961,350.6078067473384,BRA
SBSV,SBEG,-12.908611,-38.322498,-3.03861,-60.049702,1421.239275406395,BRA
SBKP,SBGR,-23.007404,-47.134502,-23.431274,-46.469954,44.68404623343219,BRA
SBKP,SBGL,-23.007404,-47.134502,-22.809999,-43.250557,215.3623149924433,BRA
SBKP,SBRJ,-23.007404,-47.134502,-22.910397,-43.16282,219.88839772527206,BRA
SBKP,SBCF,-23.007404,-47.134502,-19.63571,-43.966928,269.28925025382233,BRA
SBKP,SBBR,-23.007404,-47.134502,-15.869167,-47.920834,431.3677844016289,BRA
SBKP,SBSV,-23.007404,-47.134502,-12.908611,-38.322498,788.3112486941457,BRA
SBKP,SBKP,-23.007404,-47.134502,-23.007404,-47.134502,0,BRA
SBKP,SBSP,-23.007404,-47.134502,-23.627657,-46.654601,45.73449793063808,BRA
SBKP,SBCT,-23.007404,-47.134502,-25.5285,-49.1758,188.33934757356292,BRA
SBKP,SBPA,-23.007404,-47.134502,-29.993984,-51.167482,472.56124552651323,BRA
SBKP,SBRF,-23.007404,-47.134502,-8.12747,-34.922961,1138.552309629805,BRA
SBKP,SBEG,-23.007404,-47.134502,-3.03861,-60.049702,1416.2775198973848,BRA
SBSP,SBGR,-23.627657,-46.654601,-23.431274,-46.469954,15.584815135471121,BRA
SBSP,SBGL,-23.627657,-46.654601,-22.809999,-43.250557,194.3473797918045,BRA
SBSP,SBRJ,-23.627657,-46.654601,-22.910397,-43.16282,197.56592272568412,BRA
SBSP,SBCF,-23.627657,-46.654601,-19.63571,-43.966928,283.04103298142775,BRA
SBSP,SBBR,-23.627657,-46.654601,-15.869167,-47.920834,471.8032324010498,BRA
SBSP,SBSV,-23.627657,-46.654601,-12.908611,-38.322498,800.2384025934579,BRA
SBSP,SBKP,-23.627657,-46.654601,-23.007404,-47.134502,45.73449793063808,BRA
SBSP,SBSP,-23.627657,-46.654601,-23.627657,-46.654601,0,BRA
SBSP,SBCT,-23.627657,-46.654601,-25.5285,-49.1758,179.00650156192387,BRA
SBSP,SBPA,-23.627657,-46.654601,-29.993984,-51.167482,452.6940219536136,BRA
SBSP,SBRF,-23.627657,-46.654601,-8.12747,-34.922961,1150.8459931334417,BRA
SBSP,SBEG,-23.627657,-46.654601,-3.03861,-60.049702,1461.9995334842395,BRA
SBCT,SBGR,-25.5285,-49.1758,-23.431274,-46.469954,194.4139201719821,BRA
SBCT,SBGL,-25.5285,-49.1758,-22.809999,-43.250557,363.63998592187465,BRA
SBCT,SBRJ,-25.5285,-49.1758,-22.910397,-43.16282,365.1889886618928,BRA
SBCT,SBCF,-25.5285,-49.1758,-19.63571,-43.966928,457.0677445022786,BRA
SBCT,SBBR,-25.5285,-49.1758,-15.869167,-47.920834,584.8583379614529,BRA
SBCT,SBSV,-25.5285,-49.1758,-12.908611,-38.322498,976.0376282157226,BRA
SBCT,SBKP,-25.5285,-49.1758,-23.007404,-47.134502,188.33934757356292,BRA
SBCT,SBSP,-25.5285,-49.1758,-23.627657,-46.654601,179.00650156192387,BRA
SBCT,SBCT,-25.5285,-49.1758,-25.5285,-49.1758,0,BRA
SBCT,SBPA,-25.5285,-49.1758,-29.993984,-51.167482,288.54061623840556,BRA
SBCT,SBRF,-25.5285,-49.1758,-8.12747,-34.922961,1326.4645661055376,BRA
SBCT,SBEG,-25.5285,-49.1758,-3.03861,-60.049702,1490.7531312901033,BRA
SBPA,SBGR,-29.993984,-51.167482,-23.431274,-46.469954,468.07328755025407,BRA
SBPA,SBGL,-29.993984,-51.167482,-22.809999,-43.250557,606.3544314361131,BRA
SBPA,SBRJ,-29.993984,-51.167482,-22.910397,-43.16282,605.2909469786108,BRA
SBPA,SBCF,-29.993984,-51.167482,-19.63571,-43.966928,735.6954756796189,BRA
SBPA,SBBR,-29.993984,-51.167482,-15.869167,-47.920834,867.6790520959942,BRA
SBPA,SBSV,-29.993984,-51.167482,-12.908611,-38.322498,1251.0489810681881,BRA
SBPA,SBKP,-29.993984,-51.167482,-23.007404,-47.134502,472.56124552651323,BRA
SBPA,SBSP,-29.993984,-51.167482,-23.627657,-46.654601,452.6940219536136,BRA
SBPA,SBCT,-29.993984,-51.167482,-25.5285,-49.1758,288.54061623840556,BRA
SBPA,SBPA,-29.993984,-51.167482,-29.993984,-51.167482,0,BRA
SBPA,SBRF,-29.993984,-51.167482,-8.12747,-34.922961,1601.3987236719067,BRA
SBPA,SBEG,-29.993984,-51.167482,-3.03861,-60.049702,1697.3329761238829,BRA
SBRF,SBGR,-8.12747,-34.922961,-23.431274,-46.469954,1135.2819927256696,BRA
SBRF,SBGL,-8.12747,-34.922961,-22.809999,-43.250557,1004.9854539128349,BRA
SBRF,SBRJ,-8.12747,-34.922961,-22.910397,-43.16282,1007.8227308472481,BRA
SBRF,SBCF,-8.12747,-34.922961,-19.63571,-43.966928,869.4006272757389,BRA
