REG,REGION,ICAO,AIRPORT,CONFIG_RANK,CONFIG_ROLLING,SLOTS,ANALYSED_SLOTS,SHARE,ARR_HOURLY_P99,DEP_HOURLY_P99,FLT_HOURLY_P99
BRA,Brazil,SBBR,Brasília,1,ARR:11L - DEP:11L,1949,6712,0.29037544696066747,17,18,30
BRA,Brazil,SBBR,Brasília,2,ARR:11R - DEP:11R,1596,6712,0.23778307508939214,19,19,32
BRA,Brazil,SBBR,Brasília,3,ARR:11L+11R - DEP:11L+11R,665,6712,0.09907628128724673,35,42.389999999999986,55.389999999999986
BRA,Brazil,SBBR,Brasília,4,ARR:11L+11R - DEP:11R,544,6712,0.08104886769964244,41,14.600000000000023,50
BRA,Brazil,SBBR,Brasília,5,ARR:29R - DEP:29R,519,6712,0.07732419547079857,17,19,31.850000000000023
BRA,Brazil,SBBR,Brasília,6,ARR:11L - DEP:11R,353,6712,0.05259237187127533,12,12.509999999999991,22
BRA,Brazil,SBBR,Brasília,7,ARR:11R - DEP:11L+11R,269,6712,0.04007747318235995,12,46,51.35000000000002
BRA,Brazil,SBBR,Brasília,8,ARR:29L - DEP:29L,250,6712,0.037246722288438616,18.539999999999992,20,30
BRA,Brazil,SBCF,Belo Horizonte,1,ARR:16 - DEP:16,15280,18532,0.824519749622275,18,20,27
BRA,Brazil,SBCF,Belo Horizonte,2,ARR:34 - DEP:34,2752,18532,0.14849989207856681,16,18,26
BRA,Brazil,SBCT,Curitiba,1,ARR:15 - DEP:15,4158,7938,0.5238095238095238,11,11,19
BRA,Brazil,SBCT,Curitiba,2,ARR:33 - DEP:33,1984,7938,0.24993701184177375,12,11,19
BRA,Brazil,SBCT,Curitiba,3,DEP:15,750,7938,0.0944822373393802,4,11,13
BRA,Brazil,SBCT,Curitiba,4,ARR:15,528,7938,0.06651549508692366,10,6,12
BRA,Brazil,SBCT,Curitiba,5,DEP:33,297,7938,0.03741496598639456,5,11,13.069999999999993
BRA,Brazil,SBEG,Eduardo Gomes,1,ARR:11 - DEP:11,2129,5073,0.4196727774492411,10,11,18
BRA,Brazil,SBEG,Eduardo Gomes,2,ARR:11,1634,5073,0.32209737827715357,10,5,11
BRA,Brazil,SBEG,Eduardo Gomes,3,DEP:11,1085,5073,0.21387739010447468,4,11,12
BRA,Brazil,SBGL,Galeão,1,ARR:15 - DEP:10,12878,17607,0.7314136423013574,18,18,30
BRA,Brazil,SBGL,Galeão,2,ARR:28 - DEP:33,1621,17607,0.09206565570511728,17,16,29
BRA,Brazil,SBGL,Galeão,3,ARR:15 - DEP:15,1355,17607,0.07695802805702277,16,16,26
BRA,Brazil,SBGL,Galeão,4,ARR:10 - DEP:10,1339,17607,0.07604929857443063,15,15,26
BRA,Brazil,SBGR,Guarulhos,1,ARR:10R - DEP:10L,15092,18856,0.8003818413237166,35,37,60
BRA,Brazil,SBGR,Guarulhos,2,ARR:28L - DEP:28R,3524,18856,0.18689011455239712,31.800000000000182,34,56
BRA,Brazil,SBKP,Campinas,1,ARR:15 - DEP:15,10040,16863,0.5953863488110064,20,22,30
BRA,Brazil,SBKP,Campinas,2,ARR:33 - DEP:33,4916,16863,0.2915258257724011,18,21,29
BRA,Brazil,SBKP,Campinas,3,DEP:15,1018,16863,0.060368854889402836,5,24.860000000000014,26
BRA,Brazil,SBKP,Campinas,4,ARR:15,622,16863,0.03688548894028346,21,7,24
BRA,Brazil,SBPA,Porto Alegre,1,ARR:11 - DEP:11,5595,10347,0.5407364453464772,11,12,20
BRA,Brazil,SBPA,Porto Alegre,2,ARR:29 - DEP:29,1947,10347,0.18817048419831836,11,12,19
BRA,Brazil,SBPA,Porto Alegre,3,ARR:11,1287,10347,0.12438387938532908,10,4,12
BRA,Brazil,SBPA,Porto Alegre,4,DEP:11,977,10347,0.09442350439740987,4,13,14
BRA,Brazil,SBRF,Recife,1,ARR:18 - DEP:18,8595,12301,0.6987236810015446,15,13,22
BRA,Brazil,SBRF,Recife,2,DEP:18,1973,12301,0.16039346394602064,5,14,17
BRA,Brazil,SBRF,Recife,3,ARR:18,1285,12301,0.10446305178440778,13,5,15
BRA,Brazil,SBRJ,Santos Dumont,1,ARR:20L - DEP:20L,9115,13867,0.6573159299055311,13,13,22
BRA,Brazil,SBRJ,Santos Dumont,2,ARR:02R - DEP:02R,3578,13867,0.25802264368644984,12,13,22
BRA,Brazil,SBRJ,Santos Dumont,3,ARR:20L,553,13867,0.039878849066128215,12,4,14
BRA,Brazil,SBSP,Congonhas,1,ARR:17R - DEP:17R,2543,5035,0.50506454816286,25,24,44
BRA,Brazil,SBSP,Congonhas,2,ARR:35L - DEP:35L,1165,5035,0.2313803376365442,23,22,41.3900000000001
BRA,Brazil,SBSP,Congonhas,3,ARR:17R - DEP:17L+17R,542,5035,0.10764647467725919,24,27,47
BRA,Brazil,SBSP,Congonhas,4,ARR:35L - DEP:35L+35R,286,5035,0.05680238331678252,23,26.180000000000007,45
BRA,Brazil,SBSP,Congonhas,5,ARR:17L+17R - DEP:17R,278,5035,0.05521350546176763,26,24,47
BRA,Brazil,SBSV,Salvador,1,ARR:10 - DEP:10,968,2364,0.40947546531302875,14,13,21
BRA,Brazil,SBSV,Salvador,2,ARR:10,609,2364,0.25761421319796957,10.950000000000045,4,12.950000000000045
BRA,Brazil,SBSV,Salvador,3,DEP:10,532,2364,0.22504230118443316,3.7200000000000273,13.720000000000027,16.720000000000027
BRA,Brazil,SBSV,Salvador,4,ARR:10+17 - DEP:10,74,2364,0.031302876480541454,16.299999999999997,12.299999999999997,24.599999999999994
EUR,Europe,EDDF,Frankfurt,1,ARR:07L+07R - DEP:07C+18,6954,16036,0.43364928909952605,61,60,103
EUR,Europe,EDDF,Frankfurt,2,ARR:25C+25L+25R - DEP:18+25C,5413,16036,0.33755300573709157,61,55,103
EUR,Europe,EDDF,Frankfurt,3,ARR:25L+25R - DEP:18+25C,2334,16036,0.1455475180843103,58,58,101
EUR,Europe,EDDM,Munich,1,ARR:26L+26R - DEP:26L+26R,9225,16540,0.5577388149939541,51,54,79
EUR,Europe,EDDM,Munich,2,ARR:08L+08R - DEP:08L+08R,6256,16540,0.37823458282950423,51,52,77
EUR,Europe,EGKK,Gatwick,1,ARR:26L - DEP:26L,14103,23794,0.5927124485164327,28,35,54
EUR,Europe,EGKK,Gatwick,2,ARR:08R - DEP:08R,8861,23794,0.3724048079347735,27,35,53
EUR,Europe,EGLL,Heathrow,1,ARR:09L - DEP:09R,7719,22418,0.3443215273440985,45,49,90
EUR,Europe,EGLL,Heathrow,2,ARR:27L - DEP:27R,7019,22418,0.31309661878847356,44,49,90
EUR,Europe,EGLL,Heathrow,3,ARR:27R - DEP:27L,6600,22418,0.2944062806673209,44,49,91
EUR,Europe,EHAM,Amsterdam,1,ARR:18R - DEP:18L+24,751,5853,0.12831026823851016,39,67,96.52999999999997
EUR,Europe,EHAM,Amsterdam,2,ARR:06+36R - DEP:36L,719,5853,0.12284298650264822,69,42.85000000000002,102
