REG,REGION,ICAO,AIRPORT,SLOTS,ARRIVAL_MOVEMENTS,MIXED_SLOTS,MIXED_SHARE,P10_SPACING,P25_SPACING,MEDIAN_SPACING,P75_SPACING,P90_SPACING
BRA,Brazil,SBSV,Salvador,1569,2746,983,0.6265137029955385,5,7.5,15,15,15
BRA,Brazil,SBEG,Eduardo Gomes,3452,5321,1928,0.5585168018539977,5,7.5,15,15,15
BRA,Brazil,SBRF,Recife,9405,18685,7503,0.7977671451355662,5,5,7.5,15,15
BRA,Brazil,SBBR,Brasília,5868,17907,5603,0.9548398091342877,3,3.75,5,7.5,15
BRA,Brazil,SBCF,Belo Horizonte,16724,41334,15628,0.9344654388902176,3.75,5,7.5,15,15
BRA,Brazil,SBCT,Curitiba,6168,10723,5147,0.8344682230869002,5,7.5,7.5,15,15
BRA,Brazil,SBGL,Galeão,16320,39726,15417,0.9446691176470589,3.75,5,7.5,15,15
BRA,Brazil,SBGR,Guarulhos,18411,97517,18060,0.9809353104122536,1.875,2.142857142857143,2.5,5,7.5
BRA,Brazil,SBKP,Campinas,14847,39263,13242,0.8918973530006061,3,3.75,7.5,15,15
BRA,Brazil,SBPA,Porto Alegre,8078,14291,6344,0.7853429066600643,5,7.5,7.5,15,15
BRA,Brazil,SBRJ,Santos Dumont,12228,24057,10935,0.8942590775269872,5,5,7.5,15,15
BRA,Brazil,SBSP,Congonhas,4785,19931,4764,0.9956112852664577,2.5,3,3.75,5,7.5
EUR,Europe,EHAM,Amsterdam,4056,35187,4034,0.9945759368836292,0.9375,1.25,1.875,3,5
EUR,Europe,LGAV,Athens,18377,95085,18214,0.9911302171192251,1.875,2.142857142857143,3,3.75,7.5
EUR,Europe,EDDF,Frankfurt,14694,151865,14654,0.9972778004627739,1,1.1538461538461537,1.5,1.875,3
EUR,Europe,EDDM,Munich,15451,114095,15420,0.9979936573684551,1.25,1.5,2.142857142857143,3,5
EUR,Europe,LTFM,Istanbul,15105,143076,15093,0.9992055610724926,1.0714285714285714,1.25,1.5,2.142857142857143,3.75
EUR,Europe,LPPT,Lisbon,24010,103669,23886,0.9948354852144939,2.5,3,3,3.75,5
EUR,Europe,EGKK,Gatwick,22795,106636,22680,0.9949550339986839,2.142857142857143,2.5,3,3.75,7.5
EUR,Europe,EGLL,Heathrow,21335,204085,21332,0.9998593859854699,1.3636363636363635,1.3636363636363635,1.5,1.6666666666666667,2.142857142857143
EUR,Europe,LEBL,Barcelona,21188,141039,21152,0.9983009250519161,1.6666666666666667,1.875,2.142857142857143,3,5
EUR,Europe,LEMD,Madrid,19886,158965,19823,0.9968319420697979,1.25,1.5,1.875,2.5,3.75
EUR,Europe,LFPG,Paris,17725,157103,17713,0.9993229901269394,1.1538461538461537,1.3636363636363635,1.6666666666666667,2.142857142857143,3
EUR,Europe,LSZH,Zurich,14301,79354,14214,0.9939165093350115,1.875,2.142857142857143,2.5,3.75,7.5
